market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_ask,no_ask,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Austin** be 94-95° on Jul 18, 2025?",Austin,2025-07-18,between,94,95,,59.00,53.00,2025-07-18 07:02:15,95,70,YES
"Will the high temp in Chicago be 81-82° on Jul 18, 2025?",Chicago,2025-07-18,between,81,82,,39.00,69.00,2025-07-18 07:02:17,80,58,NO
"Will the **high temp in Denver** be 90-91° on Jul 18, 2025?",Denver,2025-07-18,between,90,91,,50.00,79.00,2025-07-18 07:02:14,93,62,NO
"Will the **high temp in LA** be 72-73° on Jul 18, 2025?",Los Angeles,2025-07-18,between,72,73,,57.00,53.00,2025-07-18 07:02:14,73,64,YES
"Will the **high temp in Miami** be 92-93° on Jul 18, 2025?",Miami,2025-07-18,between,92,93,,55.00,49.00,2025-07-18 07:02:16,92,83,YES
"Will the **high temp in NYC** be 83-84° on Jul 18, 2025?",New York,2025-07-18,between,83,84,,51.00,52.00,2025-07-18 07:02:15,88,73,NO
"Will the **high temp in Philadelphia** be 86-87° on Jul 18, 2025?",Philadelphia,2025-07-18,between,86,87,,45.00,60.00,2025-07-18 07:02:16,93,79,NO
"Will the **high temp in Austin** be 96-97° on Jul 17, 2025?",Austin,2025-07-17,between,96,97,,57.00,59.00,2025-07-17 07:01:30,95,72,NO
"Will the high temp in Chicago be <75° on Jul 17, 2025?",Chicago,2025-07-17,less,,75,,63.00,79.00,2025-07-17 07:01:32,78,65,NO
"Will the **high temp in Denver** be 88-89° on Jul 17, 2025?",Denver,2025-07-17,between,88,89,,42.00,71.00,2025-07-17 07:01:28,90,56,NO
"Will the **high temp in LA** be 71-72° on Jul 17, 2025?",Los Angeles,2025-07-17,between,71,72,,49.00,61.00,2025-07-17 07:01:29,73,63,NO
"Will the **high temp in Miami** be 89-90° on Jul 17, 2025?",Miami,2025-07-17,between,89,90,,48.00,54.00,2025-07-17 07:01:30,91,82,NO
"Will the **high temp in NYC** be 91-92° on Jul 17, 2025?",New York,2025-07-17,between,91,92,,57.00,58.00,2025-07-17 07:01:29,90,75,NO
"Will the **high temp in Philadelphia** be 94-95° on Jul 17, 2025?",Philadelphia,2025-07-17,between,94,95,,42.00,75.00,2025-07-17 07:01:31,95,75,YES
"Will the **high temp in Austin** be 95-96° on Jul 16, 2025?",Austin,2025-07-16,between,95,96,,52.00,60.00,2025-07-16 07:02:15,95,78,YES
"Will the high temp in Chicago be 93-94° on Jul 16, 2025?",Chicago,2025-07-16,between,93,94,,42.00,73.00,2025-07-16 07:02:16,90,72,NO
"Will the **high temp in Denver** be <85° on Jul 16, 2025?",Denver,2025-07-16,less,,85,,84.00,18.00,2025-07-16 07:02:13,77,60,NO
"Will the **high temp in LA** be 73-74° on Jul 16, 2025?",Los Angeles,2025-07-16,between,73,74,,54.00,60.00,2025-07-16 07:02:13,74,64,YES
"Will the **high temp in Miami** be 89-90° on Jul 16, 2025?",Miami,2025-07-16,between,89,90,,50.00,53.00,2025-07-16 07:02:15,90,75,YES
"Will the **high temp in NYC** be 88-89° on Jul 16, 2025?",New York,2025-07-16,between,88,89,,69.00,44.00,2025-07-16 07:02:14,87,77,NO
"Will the **high temp in Philadelphia** be 91-92° on Jul 16, 2025?",Philadelphia,2025-07-16,between,91,92,,45.00,61.00,2025-07-16 07:02:16,93,76,NO
"Will the **high temp in Austin** be 94-95° on Jul 15, 2025?",Austin,2025-07-15,between,94,95,,44.00,57.00,2025-07-15 07:02:36,93,74,NO
"Will the high temp in Chicago be 90-91° on Jul 15, 2025?",Chicago,2025-07-15,between,90,91,,41.00,62.00,2025-07-15 07:02:37,91,70,YES
"Will the **high temp in Denver** be 95-96° on Jul 15, 2025?",Denver,2025-07-15,between,95,96,,56.00,68.00,2025-07-15 07:02:34,95,65,YES
"Will the **high temp in LA** be 71-72° on Jul 15, 2025?",Los Angeles,2025-07-15,between,71,72,,41.00,83.00,2025-07-15 07:02:35,74,63,NO
"Will the **high temp in Miami** be 86-87° on Jul 15, 2025?",Miami,2025-07-15,between,86,87,,44.00,60.00,2025-07-15 07:02:36,88,75,NO
"Will the **high temp in NYC** be 86-87° on Jul 15, 2025?",New York,2025-07-15,between,86,87,,46.00,57.00,2025-07-15 07:02:35,86,72,YES
"Will the **high temp in Philadelphia** be >90° on Jul 15, 2025?",Philadelphia,2025-07-15,greater,,90,,72.00,69.00,2025-07-15 07:02:37,90,75,NO
"Will the **high temp in Austin** be 91-92° on Jul 14, 2025?",Austin,2025-07-14,between,91,92,,45.00,62.00,2025-07-14 07:01:38,93,72,NO
"Will the high temp in Chicago be 90-91° on Jul 14, 2025?",Chicago,2025-07-14,between,90,91,,48.00,67.00,2025-07-14 07:01:39,87,66,NO
"Will the **high temp in Denver** be 96-97° on Jul 14, 2025?",Denver,2025-07-14,between,96,97,,50.00,60.00,2025-07-14 07:01:36,94,68,NO
"Will the **high temp in LA** be 71-72° on Jul 14, 2025?",Los Angeles,2025-07-14,between,71,72,,62.00,44.00,2025-07-14 07:01:37,70,60,NO
"Will the **high temp in Miami** be 85-86° on Jul 14, 2025?",Miami,2025-07-14,between,85,86,,45.00,75.00,2025-07-14 07:01:38,91,74,NO
"Will the **high temp in NYC** be 84-85° on Jul 14, 2025?",New York,2025-07-14,between,84,85,,51.00,52.00,2025-07-14 07:01:37,85,73,YES
