commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2024-05-07 22:45:00,-230.00,156.00,386.00,190.00,-200.00,-390.00,3,0,HOME WIN
2023-06-02 21:10:00,-196.00,154.00,350.00,164.00,-200.00,-364.00,4,5,AWAY WIN
2023-05-22 22:40:00,-190.00,144.00,334.00,160.00,-186.00,-346.00,6,5,HOME WIN
2023-08-09 22:39:50,-162.00,164.00,326.00,136.00,-215.00,-351.00,9,5,HOME WIN
2024-04-29 23:40:00,-162.00,164.00,326.00,136.00,-215.00,-351.00,2,3,AWAY WIN
2024-06-04 22:42:47,-188.00,138.00,326.00,158.00,-176.00,-334.00,1,0,HOME WIN
2023-04-04 23:39:42,-164.00,160.00,324.00,138.00,-210.00,-348.00,9,0,HOME WIN
2024-09-14 23:11:00,-172.00,150.00,322.00,144.00,-194.00,-338.00,7,6,HOME WIN
2024-06-25 23:11:18,-156.00,160.00,316.00,132.00,-210.00,-342.00,9,7,HOME WIN
2023-04-18 23:40:00,-134.00,172.00,306.00,114.00,-220.00,-334.00,3,0,HOME WIN
2023-04-29 23:10:00,-126.00,178.00,304.00,108.00,-230.00,-338.00,3,12,AWAY WIN
2024-07-02 22:44:58,-132.00,170.00,302.00,112.00,-220.00,-332.00,2,7,AWAY WIN
2024-08-02 23:11:00,-124.00,176.00,300.00,106.00,-230.00,-336.00,8,4,HOME WIN
2023-05-10 23:40:00,-142.00,150.00,292.00,120.00,-192.00,-312.00,9,1,HOME WIN
2024-09-04 23:11:00,-116.00,176.00,292.00,-102.00,-230.00,-128.00,8,3,HOME WIN
2023-04-26 22:35:00,-138.00,150.00,288.00,118.00,-192.00,-310.00,8,1,HOME WIN
2024-06-18 23:09:29,-116.00,172.00,288.00,-102.00,-225.00,-123.00,3,4,AWAY WIN
2023-04-03 22:40:00,-120.00,166.00,286.00,102.00,-215.00,-317.00,7,6,HOME WIN
2024-06-28 23:08:00,-126.00,160.00,286.00,108.00,-210.00,-318.00,5,16,AWAY WIN
2023-05-31 23:10:00,-120.00,164.00,284.00,102.00,-215.00,-317.00,4,1,HOME WIN
2024-06-12 22:50:34,-106.00,178.00,284.00,-110.00,-235.00,-125.00,3,4,AWAY WIN
2024-05-08 23:41:00,-118.00,160.00,278.00,100.00,-210.00,-310.00,6,3,HOME WIN
2024-07-10 22:41:00,-138.00,140.00,278.00,118.00,-180.00,-298.00,5,4,HOME WIN
2024-04-06 23:05:00,-116.00,160.00,276.00,-102.00,-210.00,-108.00,7,2,HOME WIN
2024-09-03 22:51:00,-108.00,168.00,276.00,-108.00,-220.00,-112.00,2,1,HOME WIN
2023-07-01 23:15:00,-108.00,164.00,272.00,-108.00,-215.00,-107.00,8,3,HOME WIN
2023-07-21 23:10:00,-118.00,154.00,272.00,100.00,-200.00,-300.00,6,5,HOME WIN
2023-05-12 23:06:06,-136.00,134.00,270.00,116.00,-172.00,-288.00,2,3,AWAY WIN
2023-09-26 22:10:00,-104.00,166.00,270.00,-112.00,-215.00,-103.00,7,11,AWAY WIN
2024-09-20 23:11:00,-116.00,154.00,270.00,-102.00,-200.00,-98.00,2,12,AWAY WIN
2024-07-06 23:45:00,-110.00,158.00,268.00,-106.00,-205.00,-99.00,5,1,HOME WIN
2023-04-23 23:10:00,-118.00,148.00,266.00,100.00,-190.00,-290.00,5,4,HOME WIN
2024-04-24 23:39:44,-106.00,160.00,266.00,-110.00,-210.00,-100.00,4,3,HOME WIN
2023-04-18 23:40:00,-124.00,136.00,260.00,106.00,-174.00,-280.00,2,12,AWAY WIN
2024-05-18 23:17:20,-124.00,136.00,260.00,106.00,-174.00,-280.00,7,2,HOME WIN
2024-07-20 23:11:00,-108.00,152.00,260.00,-108.00,-196.00,-88.00,0,7,AWAY WIN
2023-04-14 23:10:00,-118.00,140.00,258.00,100.00,-166.00,-266.00,3,6,AWAY WIN
2023-08-03 23:15:00,-102.00,154.00,256.00,-116.00,-200.00,-84.00,4,3,HOME WIN
2024-04-15 23:07:00,-108.00,146.00,254.00,-108.00,-186.00,-78.00,3,1,HOME WIN
2024-04-24 23:40:00,-110.00,144.00,254.00,-106.00,-186.00,-80.00,3,2,HOME WIN
2024-08-07 23:46:00,-102.00,152.00,254.00,-116.00,-196.00,-80.00,5,2,HOME WIN
2024-08-08 23:08:00,-120.00,134.00,254.00,102.00,-172.00,-274.00,7,6,HOME WIN
2024-05-05 23:10:00,-122.00,130.00,252.00,104.00,-166.00,-270.00,5,4,HOME WIN
2024-07-03 23:08:00,-110.00,140.00,250.00,-106.00,-180.00,-74.00,2,9,AWAY WIN
2024-06-12 23:10:00,-108.00,134.00,242.00,-108.00,-172.00,-64.00,4,2,HOME WIN
2024-08-22 23:16:00,-104.00,132.00,236.00,-112.00,-170.00,-58.00,3,2,HOME WIN
2023-06-11 23:10:00,106.00,180.00,74.00,-124.00,-235.00,-111.00,2,3,AWAY WIN
2023-05-09 23:39:16,106.00,172.00,66.00,-124.00,-225.00,-101.00,4,6,AWAY WIN
2024-09-11 23:46:00,110.00,172.00,62.00,-130.00,-225.00,-95.00,2,1,HOME WIN
2023-05-10 23:40:00,108.00,168.00,60.00,-126.00,-215.00,-89.00,4,3,HOME WIN
2023-06-06 23:07:00,120.00,180.00,60.00,-142.00,-235.00,-93.00,5,1,HOME WIN
2024-07-12 22:51:00,118.00,178.00,60.00,-138.00,-230.00,-92.00,2,0,HOME WIN
2024-09-13 22:46:00,120.00,180.00,60.00,-142.00,-235.00,-93.00,4,1,HOME WIN
2023-06-07 23:40:00,124.00,180.00,56.00,-146.00,-235.00,-89.00,10,2,HOME WIN
2023-06-27 23:06:05,120.00,176.00,56.00,-142.00,-230.00,-88.00,1,3,AWAY WIN
2024-06-18 23:08:14,124.00,178.00,54.00,-146.00,-235.00,-89.00,4,2,HOME WIN
2024-05-20 23:45:00,100.00,152.00,52.00,-118.00,-196.00,-78.00,6,3,HOME WIN
2024-09-06 23:06:00,110.00,162.00,52.00,-130.00,-210.00,-80.00,2,0,HOME WIN
2024-09-10 23:46:00,110.00,162.00,52.00,-130.00,-210.00,-80.00,0,3,AWAY WIN
