commence_time,last_home_odds,last_away_odds,last_total,last_over_odds,last_under_odds,home_score,away_score,total_runs,result,ou_result
2023-03-30 17:05:00,220.00,-270.00,7.5,1.82,2.00,2,7,9,AWAY WIN,OVER
2023-03-30 17:05:00,-184.00,154.00,7.0,1.87,1.95,5,0,5,HOME WIN,UNDER
2023-03-30 18:10:00,-130.00,110.00,9.0,1.94,1.88,9,10,19,AWAY WIN,OVER
2023-03-30 18:20:00,126.00,-148.00,7.5,1.98,1.83,4,0,4,HOME WIN,UNDER
2023-03-30 19:10:00,-230.00,190.00,7.0,1.95,1.87,4,0,4,HOME WIN,UNDER
2023-03-30 20:05:00,-134.00,116.00,6.5,1.95,1.87,11,7,18,HOME WIN,OVER
2023-03-30 20:10:00,-132.00,112.00,8.5,1.95,1.87,4,5,9,AWAY WIN,OVER
2023-03-30 20:10:00,126.00,-148.00,8.5,1.83,1.98,0,2,2,AWAY WIN,UNDER
2023-03-30 20:10:00,108.00,-126.00,6.5,1.87,1.95,3,5,8,AWAY WIN,OVER
2023-03-30 20:20:00,176.00,-230.00,7.5,1.88,1.94,9,10,19,AWAY WIN,OVER
2023-03-30 23:08:00,-160.00,126.00,4.5,1.68,2.14,2,3,5,AWAY WIN,OVER
2023-03-31 01:40:00,-215.00,180.00,7.5,1.91,1.91,2,7,9,AWAY WIN,OVER
2023-03-31 02:07:00,184.00,-220.00,7.0,1.83,1.98,2,1,3,HOME WIN,UNDER
2023-03-31 02:10:00,-174.00,146.00,7.5,2.00,1.82,8,2,10,HOME WIN,OVER
2023-03-31 02:10:00,-122.00,104.00,6.5,1.88,1.94,3,0,3,HOME WIN,UNDER
2023-03-31 22:40:00,-460.00,320.00,5.5,2.10,1.71,2,1,3,HOME WIN,UNDER
2023-04-01 00:10:00,-154.00,130.00,8.0,1.98,1.83,6,3,9,HOME WIN,OVER
2023-04-01 01:40:00,-190.00,160.00,7.5,1.82,2.00,1,4,5,AWAY WIN,UNDER
2023-04-01 02:10:00,-196.00,164.00,7.5,1.93,1.89,1,2,3,AWAY WIN,UNDER
2023-04-01 02:10:00,-168.00,142.00,7.5,1.82,2.00,4,9,13,AWAY WIN,OVER
2023-04-01 18:10:00,-134.00,116.00,8.0,1.82,2.00,6,4,10,HOME WIN,OVER
2023-04-01 18:15:00,112.00,-132.00,7.5,1.82,2.00,4,1,5,HOME WIN,UNDER
2023-04-01 20:05:00,230.00,-280.00,8.5,1.95,1.87,1,7,8,AWAY WIN,UNDER
2023-04-01 20:05:00,-136.00,116.00,8.5,1.91,1.91,5,7,12,AWAY WIN,OVER
2023-04-01 20:05:00,114.00,-134.00,7.5,1.89,1.93,16,3,19,HOME WIN,OVER
2023-04-01 20:07:00,146.00,-174.00,8.0,1.94,1.88,1,13,14,AWAY WIN,OVER
2023-04-01 20:10:00,-162.00,136.00,9.0,1.94,1.88,9,8,17,HOME WIN,OVER
2023-04-01 20:10:00,-142.00,120.00,8.5,1.87,1.95,6,2,8,HOME WIN,UNDER
2023-04-01 20:10:00,-174.00,146.00,7.5,1.82,2.00,12,2,14,HOME WIN,OVER
2023-04-01 20:10:00,136.00,-162.00,8.5,1.87,1.95,0,2,2,AWAY WIN,UNDER
2023-04-01 20:10:00,-102.00,-116.00,8.0,1.91,1.91,2,6,8,AWAY WIN,PUSH
2023-04-02 00:40:00,-245.00,200.00,8.0,1.83,1.98,8,4,12,HOME WIN,OVER
2023-04-02 01:10:00,-270.00,220.00,8.0,1.96,1.85,10,1,11,HOME WIN,OVER
2023-04-02 01:40:00,-138.00,118.00,7.0,1.82,2.00,0,2,2,AWAY WIN,UNDER
2023-04-02 17:10:00,-225.00,188.00,7.5,1.95,1.87,5,1,6,HOME WIN,UNDER
2023-04-02 17:35:00,152.00,-180.00,9.0,1.87,1.95,4,1,5,HOME WIN,UNDER
2023-04-02 17:35:00,-144.00,122.00,9.0,1.83,1.98,9,5,14,HOME WIN,OVER
2023-04-02 17:35:00,-142.00,120.00,8.5,1.91,1.91,6,0,6,HOME WIN,UNDER
2023-04-02 17:40:00,-134.00,114.00,8.5,1.87,1.95,3,1,4,HOME WIN,UNDER
