commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-03-30 17:05:00,-184.00,154.00,5,0,HOME WIN
2023-03-30 23:08:00,-156.00,132.00,2,3,AWAY WIN
2023-03-31 01:40:00,-210.00,176.00,2,7,AWAY WIN
2023-03-31 02:10:00,-184.00,154.00,8,2,HOME WIN
2023-04-01 00:10:00,-156.00,132.00,6,3,HOME WIN
2023-04-01 01:40:00,-184.00,154.00,1,4,AWAY WIN
2023-04-01 02:10:00,-188.00,158.00,1,2,AWAY WIN
2023-04-01 02:10:00,-172.00,144.00,4,9,AWAY WIN
2023-04-01 20:10:00,-162.00,136.00,9,8,HOME WIN
2023-04-01 20:10:00,-174.00,146.00,12,2,HOME WIN
2023-04-02 18:10:00,-166.00,140.00,3,6,AWAY WIN
2023-04-02 20:10:00,-190.00,160.00,1,2,AWAY WIN
2023-04-03 23:06:00,-164.00,138.00,8,1,HOME WIN
2023-04-03 23:10:00,-178.00,150.00,6,7,AWAY WIN
2023-04-04 00:05:00,-154.00,130.00,0,2,AWAY WIN
2023-04-04 01:40:00,-154.00,130.00,3,7,AWAY WIN
2023-04-04 22:40:00,-154.00,130.00,1,0,HOME WIN
2023-04-04 23:05:00,-158.00,134.00,1,4,AWAY WIN
2023-04-05 01:40:00,-164.00,138.00,11,2,HOME WIN
2023-04-05 17:35:00,-154.00,130.00,1,4,AWAY WIN
2023-04-06 23:20:00,-164.00,138.00,7,6,HOME WIN
2023-04-07 17:10:00,-156.00,132.00,9,3,HOME WIN
2023-04-07 19:05:00,-210.00,176.00,5,2,HOME WIN
2023-04-07 20:35:00,-168.00,142.00,1,3,AWAY WIN
2023-04-08 00:10:00,-162.00,136.00,4,0,HOME WIN
2023-04-08 23:05:00,-210.00,160.00,1,4,AWAY WIN
2023-04-08 23:20:00,-168.00,142.00,1,4,AWAY WIN
2023-04-09 17:05:00,-188.00,158.00,4,6,AWAY WIN
2023-04-09 17:40:00,-162.00,136.00,2,7,AWAY WIN
2023-04-09 18:10:00,-156.00,132.00,6,1,HOME WIN
2023-04-09 20:05:00,-162.00,136.00,3,1,HOME WIN
2023-04-10 22:35:00,-186.00,156.00,5,1,HOME WIN
2023-04-11 00:05:00,-166.00,140.00,11,2,HOME WIN
2023-04-11 22:35:00,-164.00,138.00,12,8,HOME WIN
2023-04-11 22:40:00,-162.00,136.00,4,8,AWAY WIN
2023-04-12 17:10:00,-156.00,132.00,3,1,HOME WIN
2023-04-12 20:05:00,-190.00,160.00,2,3,AWAY WIN
2023-04-12 20:07:00,-172.00,144.00,3,2,HOME WIN
2023-04-12 22:35:00,-190.00,160.00,4,8,AWAY WIN
2023-04-13 00:05:00,-174.00,146.00,1,10,AWAY WIN
2023-04-13 17:05:00,-205.00,172.00,8,7,HOME WIN
2023-04-13 17:10:00,-184.00,154.00,9,3,HOME WIN
2023-04-13 23:05:00,-154.00,130.00,2,11,AWAY WIN
2023-04-14 01:40:00,-164.00,138.00,3,4,AWAY WIN
2023-04-14 22:40:00,-174.00,134.00,7,5,HOME WIN
2023-04-14 23:05:00,-184.00,154.00,3,4,AWAY WIN
2023-04-15 00:10:00,-168.00,142.00,2,6,AWAY WIN
2023-04-15 00:15:00,-162.00,136.00,3,0,HOME WIN
2023-04-15 01:40:00,-168.00,142.00,2,11,AWAY WIN
2023-04-15 02:10:00,-174.00,146.00,2,8,AWAY WIN
2023-04-15 02:10:00,-172.00,144.00,5,3,HOME WIN
2023-04-15 18:15:00,-180.00,152.00,3,6,AWAY WIN
2023-04-15 23:09:42,-168.00,142.00,8,2,HOME WIN
2023-04-16 01:10:00,-162.00,136.00,2,1,HOME WIN
2023-04-16 17:35:00,-168.00,142.00,2,0,HOME WIN
2023-04-16 18:15:00,-184.00,154.00,5,4,HOME WIN
2023-04-16 20:10:00,-174.00,146.00,0,1,AWAY WIN
2023-04-16 23:10:00,-210.00,176.00,1,9,AWAY WIN
2023-04-17 23:45:00,-158.00,134.00,3,6,AWAY WIN
2023-04-18 02:10:00,-164.00,138.00,6,8,AWAY WIN
2023-04-18 23:45:00,-180.00,152.00,7,8,AWAY WIN
2023-04-19 01:40:00,-164.00,138.00,5,6,AWAY WIN
2023-04-19 02:10:00,-180.00,152.00,5,0,HOME WIN
2023-04-19 17:15:00,-196.00,164.00,14,5,HOME WIN
2023-04-20 22:35:00,-154.00,130.00,4,3,HOME WIN
2023-04-20 22:40:00,-200.00,168.00,0,5,AWAY WIN
2023-04-21 22:40:00,-168.00,142.00,8,7,HOME WIN
2023-04-21 23:05:00,-180.00,152.00,2,1,HOME WIN
2023-04-22 00:05:00,-200.00,168.00,4,5,AWAY WIN
2023-04-22 00:10:00,-166.00,140.00,3,5,AWAY WIN
2023-04-22 00:10:00,-205.00,172.00,2,3,AWAY WIN
2023-04-22 17:05:00,-162.00,136.00,3,2,HOME WIN
2023-04-22 19:05:00,-168.00,142.00,4,3,HOME WIN
2023-04-22 20:05:00,-172.00,144.00,4,3,HOME WIN
2023-04-22 23:04:58,-172.00,144.00,5,1,HOME WIN
2023-04-22 23:05:00,-210.00,176.00,18,3,HOME WIN
2023-04-23 01:07:00,-178.00,150.00,8,11,AWAY WIN
2023-04-23 01:40:00,-164.00,138.00,5,4,HOME WIN
2023-04-23 17:35:00,-166.00,140.00,2,1,HOME WIN
2023-04-23 18:10:00,-172.00,144.00,5,12,AWAY WIN
2023-04-23 18:10:00,-200.00,168.00,3,1,HOME WIN
2023-04-23 20:07:00,-200.00,168.00,4,3,HOME WIN
