commence_time,first_home_odds,last_home_odds,home_line_movement,first_away_odds,last_away_odds,away_line_movement,home_score,away_score,result
2023-04-21 23:05:00,-290.00,178.00,468.00,235.00,-230.00,-465.00,4,3,HOME WIN
2023-09-06 23:20:00,-295.00,162.00,457.00,240.00,-210.00,-450.00,6,11,AWAY WIN
2023-06-13 23:10:00,-215.00,188.00,403.00,180.00,-250.00,-430.00,6,7,AWAY WIN
2023-08-25 23:10:00,-210.00,172.00,382.00,176.00,-225.00,-401.00,4,12,AWAY WIN
2023-04-20 22:40:00,-200.00,180.00,380.00,168.00,-235.00,-403.00,0,5,AWAY WIN
2023-09-12 22:35:00,-200.00,180.00,380.00,168.00,-235.00,-403.00,2,5,AWAY WIN
2023-07-20 22:39:58,-184.00,194.00,378.00,154.00,-260.00,-414.00,3,4,AWAY WIN
2023-08-29 23:07:00,-205.00,172.00,377.00,172.00,-225.00,-397.00,4,5,AWAY WIN
2023-05-23 23:20:00,-200.00,170.00,370.00,168.00,-220.00,-388.00,1,8,AWAY WIN
2024-07-30 22:51:00,-172.00,190.00,362.00,144.00,-250.00,-394.00,9,3,HOME WIN
2023-04-12 22:35:00,-190.00,170.00,360.00,160.00,-220.00,-380.00,4,8,AWAY WIN
2024-07-10 23:15:00,-178.00,182.00,360.00,150.00,-240.00,-390.00,5,6,AWAY WIN
2024-07-05 23:36:00,-172.00,186.00,358.00,144.00,-240.00,-384.00,2,4,AWAY WIN
2023-04-26 23:20:00,-162.00,188.00,350.00,136.00,-250.00,-386.00,6,4,HOME WIN
2023-05-16 23:07:00,-180.00,170.00,350.00,152.00,-220.00,-372.00,3,6,AWAY WIN
2023-08-04 23:10:00,-164.00,186.00,350.00,138.00,-250.00,-388.00,3,7,AWAY WIN
2023-08-19 23:10:00,-162.00,180.00,342.00,136.00,-235.00,-371.00,3,10,AWAY WIN
2023-06-20 22:40:00,-162.00,176.00,338.00,136.00,-230.00,-366.00,0,1,AWAY WIN
2024-08-13 22:36:00,-162.00,176.00,338.00,136.00,-230.00,-366.00,3,9,AWAY WIN
2024-05-21 23:09:08,-166.00,170.00,336.00,140.00,-220.00,-360.00,3,6,AWAY WIN
2024-08-31 22:11:00,-162.00,172.00,334.00,136.00,-225.00,-361.00,0,3,AWAY WIN
2023-08-25 22:39:55,-136.00,194.00,330.00,116.00,-260.00,-376.00,2,6,AWAY WIN
2024-08-13 23:11:00,-166.00,164.00,330.00,140.00,-215.00,-355.00,4,9,AWAY WIN
2024-08-04 23:11:00,-148.00,180.00,328.00,126.00,-235.00,-361.00,6,2,HOME WIN
2023-04-04 23:05:00,-158.00,168.00,326.00,134.00,-215.00,-349.00,1,4,AWAY WIN
2024-08-06 23:46:00,-146.00,180.00,326.00,124.00,-235.00,-359.00,4,3,HOME WIN
2024-05-16 23:39:05,-142.00,182.00,324.00,120.00,-240.00,-360.00,4,5,AWAY WIN
2024-09-25 23:07:00,-138.00,186.00,324.00,118.00,-245.00,-363.00,7,9,AWAY WIN
2023-07-31 23:07:00,-144.00,178.00,322.00,122.00,-230.00,-352.00,2,4,AWAY WIN
2023-09-11 22:35:00,-162.00,160.00,322.00,136.00,-210.00,-346.00,11,5,HOME WIN
2024-09-07 23:06:00,-132.00,190.00,322.00,112.00,-250.00,-362.00,6,4,HOME WIN
2023-04-25 22:39:52,-164.00,156.00,320.00,138.00,-205.00,-343.00,0,5,AWAY WIN
2024-03-30 23:15:00,-130.00,186.00,316.00,110.00,-240.00,-350.00,6,9,AWAY WIN
2023-07-07 22:39:41,-120.00,192.00,312.00,102.00,-260.00,-362.00,1,2,AWAY WIN
2024-04-09 22:40:00,-142.00,170.00,312.00,120.00,-220.00,-340.00,5,9,AWAY WIN
2024-07-27 23:11:00,-148.00,164.00,312.00,126.00,-215.00,-341.00,7,6,HOME WIN
2023-09-18 23:19:53,-118.00,192.00,310.00,100.00,-260.00,-360.00,1,7,AWAY WIN
2023-05-06 22:40:00,-130.00,178.00,308.00,110.00,-230.00,-340.00,5,3,HOME WIN
2024-09-17 23:41:00,-146.00,162.00,308.00,124.00,-210.00,-334.00,3,4,AWAY WIN
2023-08-29 23:10:00,-120.00,186.00,306.00,102.00,-240.00,-342.00,2,6,AWAY WIN
2023-06-07 23:20:00,-126.00,178.00,304.00,108.00,-235.00,-343.00,7,5,HOME WIN
2024-09-21 23:11:00,-112.00,186.00,298.00,-104.00,-245.00,-141.00,0,5,AWAY WIN
2023-06-27 23:11:59,-104.00,190.00,294.00,-112.00,-260.00,-148.00,1,10,AWAY WIN
2024-09-13 23:08:00,-130.00,164.00,294.00,110.00,-215.00,-325.00,4,3,HOME WIN
2023-05-12 23:10:50,-104.00,188.00,292.00,-112.00,-250.00,-138.00,6,8,AWAY WIN
2024-08-09 22:46:00,-118.00,172.00,290.00,100.00,-225.00,-325.00,3,2,HOME WIN
2024-04-16 23:10:00,-110.00,178.00,288.00,-106.00,-235.00,-129.00,7,10,AWAY WIN
2024-08-16 22:41:00,-126.00,162.00,288.00,108.00,-210.00,-318.00,5,3,HOME WIN
2023-08-09 23:09:00,-108.00,178.00,286.00,-108.00,-235.00,-127.00,4,3,HOME WIN
2024-07-05 23:11:00,-116.00,166.00,282.00,-102.00,-215.00,-113.00,4,5,AWAY WIN
2023-05-09 23:40:00,-102.00,176.00,278.00,-116.00,-230.00,-114.00,2,6,AWAY WIN
2023-04-11 23:40:00,-116.00,160.00,276.00,-102.00,-210.00,-108.00,14,9,HOME WIN
2023-09-08 22:40:00,-110.00,162.00,272.00,-106.00,-210.00,-104.00,7,4,HOME WIN
2023-07-18 23:07:00,-108.00,158.00,266.00,-108.00,-205.00,-97.00,1,9,AWAY WIN
2023-09-19 23:05:00,-108.00,158.00,266.00,-108.00,-205.00,-97.00,4,3,HOME WIN
