commence_time,last_home_odds,last_away_odds,home_score,away_score,result
2023-03-30 17:05:00,220.00,-270.00,2,7,AWAY WIN
2023-03-30 17:05:00,-184.00,154.00,5,0,HOME WIN
2023-03-30 18:10:00,-130.00,110.00,9,10,AWAY WIN
2023-03-30 18:20:00,126.00,-148.00,4,0,HOME WIN
2023-03-30 19:10:00,-230.00,190.00,4,0,HOME WIN
2023-03-30 20:05:00,-134.00,116.00,11,7,HOME WIN
2023-03-30 20:10:00,-132.00,112.00,4,5,AWAY WIN
2023-03-30 20:10:00,126.00,-148.00,0,2,AWAY WIN
2023-03-30 20:10:00,108.00,-126.00,3,5,AWAY WIN
2023-03-30 20:20:00,176.00,-230.00,9,10,AWAY WIN
2023-03-30 23:08:00,-160.00,126.00,2,3,AWAY WIN
2023-03-31 01:40:00,-215.00,180.00,2,7,AWAY WIN
2023-03-31 02:07:00,184.00,-220.00,2,1,HOME WIN
2023-03-31 02:10:00,-174.00,146.00,8,2,HOME WIN
2023-03-31 02:10:00,-122.00,104.00,3,0,HOME WIN
2023-03-31 22:40:00,-460.00,320.00,2,1,HOME WIN
2023-04-01 00:10:00,-154.00,130.00,6,3,HOME WIN
2023-04-01 01:40:00,-190.00,160.00,1,4,AWAY WIN
2023-04-01 02:10:00,-196.00,164.00,1,2,AWAY WIN
2023-04-01 02:10:00,-168.00,142.00,4,9,AWAY WIN
2023-04-01 18:10:00,-134.00,116.00,6,4,HOME WIN
2023-04-01 18:15:00,112.00,-132.00,4,1,HOME WIN
2023-04-01 18:20:00,116.00,-136.00,1,3,AWAY WIN
2023-04-01 20:05:00,230.00,-280.00,1,7,AWAY WIN
2023-04-01 20:05:00,-136.00,116.00,5,7,AWAY WIN
2023-04-01 20:05:00,114.00,-134.00,16,3,HOME WIN
2023-04-01 20:07:00,146.00,-174.00,1,13,AWAY WIN
2023-04-01 20:10:00,-162.00,136.00,9,8,HOME WIN
2023-04-01 20:10:00,-142.00,120.00,6,2,HOME WIN
2023-04-01 20:10:00,-174.00,146.00,12,2,HOME WIN
2023-04-01 20:10:00,136.00,-162.00,0,2,AWAY WIN
2023-04-01 20:10:00,-102.00,-116.00,2,6,AWAY WIN
2023-04-02 00:40:00,-245.00,200.00,8,4,HOME WIN
2023-04-02 01:10:00,-270.00,220.00,10,1,HOME WIN
