dealId,name,accountId
14626,Sebring Design Build,2532385
14625,Closets by Design - Chicago North,2569762
14624,Starke Law Offices,2662432
14623,Troup custom carpentry,2680450
14622,Seacoast Strength & Conditioning,2631866
14621,Santa Barbara Longevity Center,2671763
14620,Somebody's Gotta Do It Softwash & Gutter Cleaning,2679101
14619,Lund Financial Management,2658197
14618,Salem Golf Club,2625071
14616,Exclusive Transportation Services,2676691
14615,B.Y. Solutions LLC,2676498
14613,Liberty Closet & Garage Company,2629104
14612,JONESPLAN ,1737448
14611,CBD Plus USA,174176
14610,Word of Mouth Restaurants,78369
14609,Lisa Foley Luxury Homes,2668975
14608,Myranda Fine Jewelry,2666309
14607,Coe Bancroft - State Farm Insurance Agent,2520224
14606,EMA Dental ,2616425
14605,GLB Marketing,2611280
14604,Coastal Properties- Gary Goldberg,2670170
14603,Three Crosses Distilling Company,2515423
14602,Lulu & Mimi's Cleaning,5345
14601,Windura,9343
14600,"The Bihm Firm, PLLC",2612739
14599,Aurora On France Vibrant Senior Living And Care,793107
14598,DeRosa Fine Diamonds,2542517
14597,Dr. Steven Zhou,2571154
14596,Urban EXTeriors,473052
14595,Primrose School NE Flower Mound,48033
14594,Dariusz Terepka Photography,2554960
14593,Perennial Professional Services,468891
14592,Hopi Tepees,2665479
14591,ALLO Fiber Greeley,2600255
14590,Chris Palme | Santa Barbara Riviera Homes,2664887
14589,Kenyon Noble Lumber and Hardware,1827075
14588,"Topeka Periodontics, PA",2523004
14587,Eclipse Solar,2632379
14586,Central Coast Home Health and Hospice,2663655
14585,360 Wellness Spa,2660006
14584,Booth Creek Wagyu,2645850
14583,Yetzer Home Store,39331
14582,LifeStyle Medicine Inc.,1747710
14581,SmithKlein Gallery ,22043
14580,Hawthorne Plaza,3885
14579,Topher Straus Fine Art,2498770
14577,Creative Contracting,49453
14576,Fred Astaire Dance Studio - Chandler,11412
14575,Sicily Coal Fired Pizza,2553197
14574,Two Blind Guys,109507
14572,Benjamin Plumbing Supply,2557967
14571,Mitchell Capital Management Co,89197
14570,Tutera Medical Inc,2614104
14569,Woodsboro Bank,91320
14568,Swahili Village Newark,2655101
14567,Automation Integration,2559893
14566,Persimmon Design,2633027
14565,Dogwood Construction,931215
14564,Candice Rich Luxury Homes ,2509470
14563,Solutions Plus Pest Control,2527319
14562,Classic Blinds & Shutters,31879
14561,Four Elements Landscape & Outdoor Living,32545
14560,Dream House ,91822
14558,Southern Oak Wealth,106939
14557,Archadeck of Alpharetta,130460
14556,Independent Wealth Management,2508788
14555,Inspired Closets Pensacola,2652895
14554,Gulf Coast Shades and Blinds,2648466
14553,"Adam Fienman, DDS",132699
14551,Independent Bank,2556318
14550,Passiglia's,2514794
14548,Ace Handyman Services - Northwest San Antonio,2509223
14547,Jackie Davis,2554477
14546,Becker's Diamonds & Fine Jewelry | West Hartford,2590821
14545,Emerson Dry Cleaners,2623294
14544,Urban Kitchens,80421
14542,Gregorio's TRATORIA,51611
14541,"Reliant Investment Management, LLC",2551131
14540,CASA of Jefferson County,2549663
14539,Beth Ferester - Corcoran ,2563095
14538,Uptown Appliance Repair,2635998
14536,FineMark National Bank & Trust - Gainey Village,47115
14535,Fairfield Chiropractic,2483673
14534,Land Rover of Scottsdale,5046
14532,Barley | Pfeiffer Architecture,2569367
14530,Bassett Home Furnishings,2300
14529,Honeysuckle Rose Boutique,2571389
14527,Sooner Theatre,36356
14524,MoveNation Dance Academy,2493539
14523,Ocotillo Home Lending,2502528
14522,Creative Elements LLC,45179
14521,Hughston Clinic Orthopaedics,55448
14520,Classy Closets of The Woodlands,2594358
14518,Greenwich Medical Spa - Glastonbury & West Hartford,2587087
14517,Edward Jones - Financial Advisor: Christyna S Lewis,2497373
14515,Amada Senior Care,78035
14514,"The Skin Lounge, LLC",2552645
14512,RC McGraws Bar and Grill,2550191
14511,LEVELTX™ CORP,2626564
14510,Audi Frederick,2586143
14509,Waterly Co.,2532418
14508,Nothing Bundt Cakes,1828925
14507,CertaPro Painters of the CSRA,175186
14506,Meyer Skidmore & Company  ,2548284
14505,Vesta Foundation Solutions ,97237
14504,Crittenden Partners ,2000975
14503,Gainey Village Health Club & Spa,103147
14502,William Chris Vineyards,2533086
14501,Goldfish Swim School - Franklin,101963
14500,Blue Code Networks,2600049
14497,Scientifically Oriented Athletic Regimen (SOAR),2578892
14496,"RGW Wealth Management, LLC",773923
14495,Artistex Salon & Spa,2540934
14493,Pawtastic Academy Hillsdale,2584058
14492,Sugar and Chip AZ,2625845
14491,Jensen Orthodontic Arts,54534
14490,FRIENDS of Broomfield,2551647
14489,"Pro Group Realty and Property Management, LLC",57066
14488,Michael Corna - American Family Insurance,39605
14486,Wanda Tracey Matchmaker & Marriage Officiant ,2623840
14485,Kohler Signature Store,2623829
14483,Bassett Furniture ,84200
14482,Home Instead Senior Care - Lee's Summit,17213
14481,Isabelle et Vincent,2571576
14479,Kettermans Jewelers,71883
14478,"ComForCare Home Care (Fairfield, CT)",2557656
14477,Compass RE | The Bickerstaff Group,2534514
14476,"Marshall's Inside Connections, Inc.",2619803
14475,Merry Maids - Meridian ,73602
14474,Elevate Wellness and Aesthetics,163732
14473,Cindy Raney & Co. Realtor,2502286
14472,Westfield Feed,107256
14471,Paradise Charter Cruises and Minneapolis Queen,1828664
14470,Ponders Hollow Custom Wood Flooring and Millwork,2536296
14469,STRIDE Fitness West End,2604775
14468,Factor Design Build,87078
14467,Streets of St. Charles ,90115
14466,Area Rug Connection,2565127
14465,Platzke Real Estate Group,784937
14464,Engel & Volkers Austin,26358
14463,KOHLER Signature Store by Facets of Dallas,67366
14462,State Farm Insurance - Jeremy Mueller,19885
14460,Mend Services,2610172
14459,The Wood Bin,126883
14458,Cook Tillman Law Group,71657
14457,"Studio For Exceptional Dentistry, The",2052119
14456,Lyons & Lyons,31576
14455,Onward Real Estate Michele Friedrichsen,497797
14454,Le Macaron French Pastries,2606659
14453,Otogawa-Anschel Design+Build+Architecture,104302
14452,Regenerative Orthopedics And Sports Medicine,738574
14451,Fork of the South General Store,349683
14449,Dr. Garramone Plastic Surgery,127586
14448,The Topeka Country Club,2497911
14446,Melton Design Build,26122
14444,Black Mountain Guitar Company,288031
14443,Kawa Ni,54836
14442,Mary Tuttle's ,46251
14441,Ironwood Dermatology,2557993
14439,Allen Dental Center,1918183
14435,David Lusk Gallery,2556128
14434,"Merrill Lynch, Pierce, Fenner & Smith Inc. - Price & Associates",49614
14433,Complete Landsculpture,60311
14432,Onus iV Bar Boulder,2493452
14423,Michael Jordan Nissan,115868
