commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-03-31 02:07:00,194.00,-235.00,2,1,HOME WIN
2023-04-05 01:40:00,172.00,-205.00,4,3,HOME WIN
2023-04-05 23:40:00,164.00,-196.00,0,3,AWAY WIN
2023-04-06 18:10:00,168.00,-200.00,3,6,AWAY WIN
2023-04-08 01:40:00,188.00,-225.00,6,3,HOME WIN
2023-04-10 22:35:00,158.00,-188.00,2,8,AWAY WIN
2023-04-12 16:35:00,158.00,-188.00,0,7,AWAY WIN
2023-04-15 01:40:00,158.00,-188.00,6,17,AWAY WIN
2023-04-15 20:07:00,162.00,-194.00,2,3,AWAY WIN
2023-04-16 17:35:00,194.00,-240.00,7,6,HOME WIN
2023-04-16 17:40:00,158.00,-188.00,3,14,AWAY WIN
2023-04-17 23:39:31,176.00,-210.00,0,4,AWAY WIN
2023-04-19 16:35:00,176.00,-210.00,0,8,AWAY WIN
2023-04-30 18:10:00,158.00,-188.00,12,9,HOME WIN
2023-05-03 22:40:00,176.00,-210.00,8,1,HOME WIN
2023-05-04 01:40:00,158.00,-188.00,2,7,AWAY WIN
2023-05-04 17:10:00,160.00,-190.00,2,0,HOME WIN
2023-05-08 22:10:00,194.00,-260.00,2,6,AWAY WIN
2023-05-09 22:40:00,188.00,-225.00,7,6,HOME WIN
2023-05-13 01:40:00,168.00,-200.00,9,7,HOME WIN
2023-05-14 17:35:00,176.00,-210.00,2,8,AWAY WIN
2023-05-16 01:40:00,184.00,-220.00,2,5,AWAY WIN
2023-05-22 22:40:00,160.00,-190.00,6,5,HOME WIN
2023-05-25 20:05:00,158.00,-188.00,6,8,AWAY WIN
2023-05-27 00:40:00,176.00,-210.00,2,5,AWAY WIN
2023-05-28 01:10:00,168.00,-200.00,10,7,HOME WIN
2023-05-31 00:05:00,164.00,-196.00,2,1,HOME WIN
2023-05-31 19:37:00,194.00,-240.00,2,4,AWAY WIN
2023-06-02 21:10:00,164.00,-196.00,4,5,AWAY WIN
2023-06-02 23:05:00,160.00,-190.00,8,7,HOME WIN
2023-06-04 02:10:00,176.00,-210.00,2,5,AWAY WIN
2023-06-06 23:10:00,176.00,-210.00,9,8,HOME WIN
2023-06-08 00:40:00,168.00,-200.00,4,5,AWAY WIN
2023-06-08 16:35:00,180.00,-215.00,0,6,AWAY WIN
2023-06-11 15:35:00,194.00,-240.00,5,7,AWAY WIN
2023-06-11 19:10:00,158.00,-188.00,5,4,HOME WIN
2023-06-14 01:40:00,176.00,-210.00,2,1,HOME WIN
2023-06-15 19:37:00,158.00,-188.00,3,4,AWAY WIN
2023-06-16 23:05:00,160.00,-190.00,5,6,AWAY WIN
2023-06-28 23:10:00,156.00,-205.00,2,6,AWAY WIN
2023-06-29 00:40:00,168.00,-200.00,9,8,HOME WIN
2023-06-29 16:35:00,166.00,-198.00,5,4,HOME WIN
