1,Rockwood Recycling LLC,2635025,16
2,Floral Expressions,2724516,16
3,Little Rock City Lifestyle ,2730757,16
4,"Toned Homes, LLC",2740029,16
5,The X Fitness,2671901,16
6,Daytona City Lifestyle,2727023,16
7,My Happy Place,2730703,16
8,Miles Memory Care,2739982,16
9,The Denver Village,2737816,16
10,Hosanna LLC,2613018,25
11,Greenwood Automotive Repair and Tire of Parker,2711137,25
12,Dre's Medspa,2731363,25
13,Gambit Recovery,2626970,20
14,Ali Marshall - Blackridge Signature Real Estate,2656432,20
15,Halo Home Maintenance,2507328,20
16,Soto's Cantina,2694979,20
17,Southern Style Remodel and Paint,2737420,20
