market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_ask,no_ask,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Austin** be <93° on Jul 16, 2025?",Austin,2025-07-16,less,,93,,9.00,99.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be >100° on Jul 16, 2025?",Austin,2025-07-16,greater,,100,,2.00,99.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 93-94° on Jul 16, 2025?",Austin,2025-07-16,between,93,94,,33.00,75.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 95-96° on Jul 16, 2025?",Austin,2025-07-16,between,95,96,,49.00,56.00,2025-07-15 21:01:36,95,78,YES
"Will the **high temp in Austin** be 97-98° on Jul 16, 2025?",Austin,2025-07-16,between,97,98,,31.00,79.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 99-100° on Jul 16, 2025?",Austin,2025-07-16,between,99,100,,17.00,92.00,2025-07-15 21:01:36,95,78,NO
"Will the high temp in Chicago be <89° on Jul 16, 2025?",Chicago,2025-07-16,less,,89,,14.00,94.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be >96° on Jul 16, 2025?",Chicago,2025-07-16,greater,,96,,4.00,97.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 89-90° on Jul 16, 2025?",Chicago,2025-07-16,between,89,90,,34.00,77.00,2025-07-15 21:01:37,90,72,YES
"Will the high temp in Chicago be 91-92° on Jul 16, 2025?",Chicago,2025-07-16,between,91,92,,40.00,78.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 93-94° on Jul 16, 2025?",Chicago,2025-07-16,between,93,94,,36.00,76.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 95-96° on Jul 16, 2025?",Chicago,2025-07-16,between,95,96,,27.00,87.00,2025-07-15 21:01:37,90,72,NO
"Will the **high temp in Denver** be <85° on Jul 16, 2025?",Denver,2025-07-16,less,,85,,70.00,32.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be >92° on Jul 16, 2025?",Denver,2025-07-16,greater,,92,,2.00,100.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 85-86° on Jul 16, 2025?",Denver,2025-07-16,between,85,86,,28.00,74.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 87-88° on Jul 16, 2025?",Denver,2025-07-16,between,87,88,,9.00,95.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 89-90° on Jul 16, 2025?",Denver,2025-07-16,between,89,90,,4.00,98.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 91-92° on Jul 16, 2025?",Denver,2025-07-16,between,91,92,,5.00,97.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in LA** be <67° on Jul 16, 2025?",Los Angeles,2025-07-16,less,,67,,1.00,100.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be >74° on Jul 16, 2025?",Los Angeles,2025-07-16,greater,,74,,28.00,74.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 67-68° on Jul 16, 2025?",Los Angeles,2025-07-16,between,67,68,,1.00,100.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 69-70° on Jul 16, 2025?",Los Angeles,2025-07-16,between,69,70,,7.00,97.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 71-72° on Jul 16, 2025?",Los Angeles,2025-07-16,between,71,72,,31.00,73.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 73-74° on Jul 16, 2025?",Los Angeles,2025-07-16,between,73,74,,47.00,59.00,2025-07-15 21:01:34,74,64,YES
"Will the **high temp in Miami** be <83° on Jul 16, 2025?",Miami,2025-07-16,less,,83,,1.00,100.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be >90° on Jul 16, 2025?",Miami,2025-07-16,greater,,90,,12.00,89.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 83-84° on Jul 16, 2025?",Miami,2025-07-16,between,83,84,,4.00,99.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 85-86° on Jul 16, 2025?",Miami,2025-07-16,between,85,86,,20.00,84.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 87-88° on Jul 16, 2025?",Miami,2025-07-16,between,87,88,,45.00,59.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 89-90° on Jul 16, 2025?",Miami,2025-07-16,between,89,90,,34.00,67.00,2025-07-15 21:01:36,90,75,YES
"Will the **high temp in NYC** be <86° on Jul 16, 2025?",New York,2025-07-16,less,,86,,3.00,99.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be >93° on Jul 16, 2025?",New York,2025-07-16,greater,,93,,3.00,98.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 86-87° on Jul 16, 2025?",New York,2025-07-16,between,86,87,,28.00,75.00,2025-07-15 21:01:35,87,77,YES
"Will the **high temp in NYC** be 88-89° on Jul 16, 2025?",New York,2025-07-16,between,88,89,,43.00,62.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 90-91° on Jul 16, 2025?",New York,2025-07-16,between,90,91,,31.00,74.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 92-93° on Jul 16, 2025?",New York,2025-07-16,between,92,93,,10.00,91.00,2025-07-15 21:01:35,87,77,NO
