market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_ask,no_ask,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Austin** be 95-96° on Jul 16, 2025?",Austin,2025-07-16,between,95,96,,49.00,56.00,2025-07-15 21:01:36,95,78,YES
"Will the high temp in Chicago be 91-92° on Jul 16, 2025?",Chicago,2025-07-16,between,91,92,,40.00,78.00,2025-07-15 21:01:37,90,72,NO
"Will the **high temp in Denver** be <85° on Jul 16, 2025?",Denver,2025-07-16,less,,85,,70.00,32.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in LA** be 73-74° on Jul 16, 2025?",Los Angeles,2025-07-16,between,73,74,,47.00,59.00,2025-07-15 21:01:34,74,64,YES
"Will the **high temp in Miami** be 87-88° on Jul 16, 2025?",Miami,2025-07-16,between,87,88,,45.00,59.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in NYC** be 88-89° on Jul 16, 2025?",New York,2025-07-16,between,88,89,,43.00,62.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 16, 2025?",Philadelphia,2025-07-16,between,89,90,,39.00,65.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Austin** be 94-95° on Jul 15, 2025?",Austin,2025-07-15,between,94,95,,49.00,60.00,2025-07-14 21:02:12,93,74,NO
"Will the high temp in Chicago be 90-91° on Jul 15, 2025?",Chicago,2025-07-15,between,90,91,,41.00,63.00,2025-07-14 21:02:14,91,70,YES
"Will the **high temp in Denver** be 93-94° on Jul 15, 2025?",Denver,2025-07-15,between,93,94,,44.00,69.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in LA** be 73-74° on Jul 15, 2025?",Los Angeles,2025-07-15,between,73,74,,48.00,76.00,2025-07-14 21:02:10,74,63,YES
"Will the **high temp in Miami** be 84-85° on Jul 15, 2025?",Miami,2025-07-15,between,84,85,,48.00,54.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in NYC** be 86-87° on Jul 15, 2025?",New York,2025-07-15,between,86,87,,44.00,60.00,2025-07-14 21:02:11,86,72,YES
"Will the **high temp in Philadelphia** be >90° on Jul 15, 2025?",Philadelphia,2025-07-15,greater,,90,,53.00,73.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Austin** be 89-90° on Jul 14, 2025?",Austin,2025-07-14,between,89,90,,44.00,78.00,2025-07-13 21:01:58,93,72,NO
"Will the high temp in Chicago be 90-91° on Jul 14, 2025?",Chicago,2025-07-14,between,90,91,,47.00,67.00,2025-07-13 21:02:00,87,66,NO
"Will the **high temp in Denver** be 94-95° on Jul 14, 2025?",Denver,2025-07-14,between,94,95,,40.00,61.00,2025-07-13 21:01:56,94,68,YES
"Will the **high temp in LA** be 71-72° on Jul 14, 2025?",Los Angeles,2025-07-14,between,71,72,,50.00,55.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in Miami** be 87-88° on Jul 14, 2025?",Miami,2025-07-14,between,87,88,,44.00,62.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in NYC** be 84-85° on Jul 14, 2025?",New York,2025-07-14,between,84,85,,45.00,63.00,2025-07-13 21:01:57,85,73,YES
"Will the **high temp in Philadelphia** be 87-88° on Jul 14, 2025?",Philadelphia,2025-07-14,between,87,88,,53.00,77.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Austin** be 93-94° on Jul 13, 2025?",Austin,2025-07-13,between,93,94,,42.00,65.00,2025-07-12 21:01:32,90,72,NO
"Will the high temp in Chicago be 85-86° on Jul 13, 2025?",Chicago,2025-07-13,between,85,86,,41.00,64.00,2025-07-12 21:01:34,83,67,NO
"Will the **high temp in Denver** be 91-92° on Jul 13, 2025?",Denver,2025-07-13,between,91,92,,46.00,59.00,2025-07-12 21:01:31,92,62,YES
"Will the **high temp in LA** be 71-72° on Jul 13, 2025?",Los Angeles,2025-07-13,between,71,72,,46.00,59.00,2025-07-12 21:01:31,71,61,YES
"Will the **high temp in Miami** be 91-92° on Jul 13, 2025?",Miami,2025-07-13,between,91,92,,54.00,51.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in NYC** be 82-83° on Jul 13, 2025?",New York,2025-07-13,between,82,83,,46.00,60.00,2025-07-12 21:01:32,83,71,YES
"Will the **high temp in Philadelphia** be 88-89° on Jul 13, 2025?",Philadelphia,2025-07-13,between,88,89,,44.00,62.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Austin** be 92-93° on Jul 12, 2025?",Austin,2025-07-12,between,92,93,,55.00,46.00,2025-07-11 21:01:48,93,76,YES
"Will the high temp in Chicago be 86-87° on Jul 12, 2025?",Chicago,2025-07-12,between,86,87,,37.00,65.00,2025-07-11 21:01:49,87,69,YES
"Will the **high temp in Denver** be 83-84° on Jul 12, 2025?",Denver,2025-07-12,between,83,84,,39.00,64.00,2025-07-11 21:01:46,86,57,NO
"Will the **high temp in LA** be 73-74° on Jul 12, 2025?",Los Angeles,2025-07-12,between,73,74,,45.00,58.00,2025-07-11 21:01:47,75,65,NO
"Will the **high temp in Miami** be 89-90° on Jul 12, 2025?",Miami,2025-07-12,between,89,90,,53.00,49.00,2025-07-11 21:01:48,92,77,NO
"Will the **high temp in NYC** be 84-85° on Jul 12, 2025?",New York,2025-07-12,between,84,85,,47.00,60.00,2025-07-11 21:01:47,83,74,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 12, 2025?",Philadelphia,2025-07-12,between,89,90,,42.00,59.00,2025-07-11 21:01:49,91,74,NO
"Will the **high temp in Austin** be 94-95° on Jul 11, 2025?",Austin,2025-07-11,between,94,95,,42.00,63.00,2025-07-10 21:02:01,93,73,NO
"Will the high temp in Chicago be 90-91° on Jul 11, 2025?",Chicago,2025-07-11,between,90,91,,35.00,71.00,2025-07-10 21:02:04,90,69,YES
"Will the **high temp in Denver** be 86-87° on Jul 11, 2025?",Denver,2025-07-11,between,86,87,,45.00,64.00,2025-07-10 21:01:59,89,54,NO
"Will the **high temp in LA** be 74-75° on Jul 11, 2025?",Los Angeles,2025-07-11,between,74,75,,49.00,57.00,2025-07-10 21:02:00,75,63,YES
"Will the **high temp in Miami** be 89-90° on Jul 11, 2025?",Miami,2025-07-11,between,89,90,,52.00,51.00,2025-07-10 21:02:02,90,77,YES
"Will the **high temp in NYC** be 85-86° on Jul 11, 2025?",New York,2025-07-11,between,85,86,,46.00,64.00,2025-07-10 21:02:01,84,73,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 11, 2025?",Philadelphia,2025-07-11,between,89,90,,42.00,64.00,2025-07-10 21:02:03,90,73,YES
"Will the **high temp in Austin** be 95-96° on Jul 10, 2025?",Austin,2025-07-10,between,95,96,,34.00,68.00,2025-07-09 21:01:54,89,68,NO
"Will the high temp in Chicago be 84-85° on Jul 10, 2025?",Chicago,2025-07-10,between,84,85,,43.00,63.00,2025-07-09 21:01:56,85,67,YES
"Will the **high temp in Denver** be 92-93° on Jul 10, 2025?",Denver,2025-07-10,between,92,93,,41.00,65.00,2025-07-09 21:01:53,91,59,NO
"Will the **high temp in LA** be 75-76° on Jul 10, 2025?",Los Angeles,2025-07-10,between,75,76,,57.00,49.00,2025-07-09 21:01:53,75,62,YES
"Will the **high temp in Miami** be 90-91° on Jul 10, 2025?",Miami,2025-07-10,between,90,91,,51.00,50.00,2025-07-09 21:01:55,91,77,YES
"Will the **high temp in NYC** be 81-82° on Jul 10, 2025?",New York,2025-07-10,between,81,82,,39.00,66.00,2025-07-09 21:01:54,85,70,NO
"Will the **high temp in Philadelphia** be 83-84° on Jul 10, 2025?",Philadelphia,2025-07-10,between,83,84,,40.00,66.00,2025-07-09 21:01:55,86,72,NO
"Will the **high temp in Austin** be 92-93° on Jul 9, 2025?",Austin,2025-07-09,between,92,93,,50.00,63.00,2025-07-08 21:01:41,91,73,NO
"Will the high temp in Chicago be 83-84° on Jul 9, 2025?",Chicago,2025-07-09,between,83,84,,36.00,65.00,2025-07-08 21:01:44,85,70,NO
"Will the **high temp in Denver** be 99-100° on Jul 9, 2025?",Denver,2025-07-09,between,99,100,,48.00,58.00,2025-07-08 21:01:40,100,63,YES
"Will the **high temp in LA** be 75-76° on Jul 9, 2025?",Los Angeles,2025-07-09,between,75,76,,51.00,54.00,2025-07-08 21:01:40,75,63,YES
"Will the **high temp in Miami** be 91-92° on Jul 9, 2025?",Miami,2025-07-09,between,91,92,,52.00,49.00,2025-07-08 21:01:42,92,80,YES
"Will the **high temp in NYC** be 88-89° on Jul 9, 2025?",New York,2025-07-09,between,88,89,,41.00,62.00,2025-07-08 21:01:41,90,73,NO
"Will the **high temp in Philadelphia** be 90-91° on Jul 9, 2025?",Philadelphia,2025-07-09,between,90,91,,42.00,64.00,2025-07-08 21:01:43,91,75,YES
"Will the **high temp in Austin** be 91-92° on Jul 8, 2025?",Austin,2025-07-08,between,91,92,,61.00,49.00,2025-07-07 21:02:00,94,72,NO
"Will the high temp in Chicago be 87-88° on Jul 8, 2025?",Chicago,2025-07-08,between,87,88,,35.00,70.00,2025-07-07 21:02:01,84,69,NO
"Will the **high temp in Denver** be 94-95° on Jul 8, 2025?",Denver,2025-07-08,between,94,95,,44.00,61.00,2025-07-07 21:01:58,96,59,NO
"Will the **high temp in LA** be 73-74° on Jul 8, 2025?",Los Angeles,2025-07-08,between,73,74,,52.00,54.00,2025-07-07 21:01:59,73,62,YES
"Will the **high temp in Miami** be 91-92° on Jul 8, 2025?",Miami,2025-07-08,between,91,92,,53.00,50.00,2025-07-07 21:02:00,92,79,YES
"Will the **high temp in NYC** be 92-93° on Jul 8, 2025?",New York,2025-07-08,between,92,93,,41.00,65.00,2025-07-07 21:01:59,93,77,YES
"Will the **high temp in Philadelphia** be 94-95° on Jul 8, 2025?",Philadelphia,2025-07-08,between,94,95,,39.00,65.00,2025-07-07 21:02:01,96,74,NO
"Will the **high temp in Austin** be >93° on Jul 7, 2025?",Austin,2025-07-07,greater,,93,,43.00,93.00,2025-07-06 21:01:33,91,76,NO
"Will the high temp in Chicago be 81-82° on Jul 7, 2025?",Chicago,2025-07-07,between,81,82,,37.00,68.00,2025-07-06 21:01:35,83,65,NO
"Will the **high temp in Denver** be 92-93° on Jul 7, 2025?",Denver,2025-07-07,between,92,93,,41.00,65.00,2025-07-06 21:01:31,92,56,YES
"Will the **high temp in LA** be 71-72° on Jul 7, 2025?",Los Angeles,2025-07-07,between,71,72,,54.00,49.00,2025-07-06 21:01:32,72,62,YES
"Will the **high temp in Miami** be 91-92° on Jul 7, 2025?",Miami,2025-07-07,between,91,92,,50.00,59.00,2025-07-06 21:01:34,92,76,YES
"Will the **high temp in NYC** be <83° on Jul 7, 2025?",New York,2025-07-07,less,,83,,47.00,59.00,2025-07-06 21:01:33,87,76,NO
"Will the **high temp in Philadelphia** be 86-87° on Jul 7, 2025?",Philadelphia,2025-07-07,between,86,87,,36.00,68.00,2025-07-06 21:01:34,91,76,NO
"Will the **high temp in Austin** be 89-90° on Jul 6, 2025?",Austin,2025-07-06,between,89,90,,33.00,72.00,2025-07-05 21:01:17,91,72,NO
"Will the high temp in Chicago be 84-85° on Jul 6, 2025?",Chicago,2025-07-06,between,84,85,,39.00,66.00,2025-07-05 21:01:18,91,70,NO
"Will the **high temp in Denver** be 90-91° on Jul 6, 2025?",Denver,2025-07-06,between,90,91,,42.00,62.00,2025-07-05 21:01:15,91,59,YES
"Will the **high temp in LA** be 72-73° on Jul 6, 2025?",Los Angeles,2025-07-06,between,72,73,,49.00,52.00,2025-07-05 21:01:16,71,61,NO
"Will the **high temp in Miami** be 90-91° on Jul 6, 2025?",Miami,2025-07-06,between,90,91,,56.00,49.00,2025-07-05 21:01:17,88,75,NO
"Will the **high temp in NYC** be 88-89° on Jul 6, 2025?",New York,2025-07-06,between,88,89,,52.00,50.00,2025-07-05 21:01:16,87,72,NO
"Will the **high temp in Philadelphia** be 90-91° on Jul 6, 2025?",Philadelphia,2025-07-06,between,90,91,,43.00,63.00,2025-07-05 21:01:18,90,71,YES
"Will the **high temp in Austin** be <87° on Jul 5, 2025?",Austin,2025-07-05,less,,87,,95.00,6.00,2025-07-04 21:01:49,83,74,NO
"Will the high temp in Chicago be 95-96° on Jul 5, 2025?",Chicago,2025-07-05,between,95,96,,35.00,67.00,2025-07-04 21:01:51,94,76,NO
"Will the **high temp in Denver** be 90-91° on Jul 5, 2025?",Denver,2025-07-05,between,90,91,,41.00,65.00,2025-07-04 21:01:48,92,60,NO
"Will the **high temp in LA** be 74-75° on Jul 5, 2025?",Los Angeles,2025-07-05,between,74,75,,49.00,57.00,2025-07-04 21:01:48,73,63,NO
"Will the **high temp in Miami** be 87-88° on Jul 5, 2025?",Miami,2025-07-05,between,87,88,,48.00,57.00,2025-07-04 21:01:50,89,76,NO
"Will the **high temp in NYC** be 84-85° on Jul 5, 2025?",New York,2025-07-05,between,84,85,,52.00,50.00,2025-07-04 21:01:49,84,68,YES
"Will the **high temp in Philadelphia** be 87-88° on Jul 5, 2025?",Philadelphia,2025-07-05,between,87,88,,41.00,65.00,2025-07-04 21:01:50,88,66,YES
"Will the **high temp in Austin** be <88° on Jul 4, 2025?",Austin,2025-07-04,less,,88,,67.00,49.00,2025-07-03 21:01:18,84,77,NO
"Will the high temp in Chicago be 94-95° on Jul 4, 2025?",Chicago,2025-07-04,between,94,95,,50.00,56.00,2025-07-03 21:01:20,92,74,NO
"Will the **high temp in Denver** be 88-89° on Jul 4, 2025?",Denver,2025-07-04,between,88,89,,42.00,64.00,2025-07-03 21:01:17,87,65,NO
"Will the **high temp in LA** be 73-74° on Jul 4, 2025?",Los Angeles,2025-07-04,between,73,74,,54.00,52.00,2025-07-03 21:01:17,74,62,YES
"Will the **high temp in Miami** be 87-88° on Jul 4, 2025?",Miami,2025-07-04,between,87,88,,51.00,52.00,2025-07-03 21:01:19,86,74,NO
"Will the **high temp in NYC** be 84-85° on Jul 4, 2025?",New York,2025-07-04,between,84,85,,45.00,60.00,2025-07-03 21:01:18,83,67,NO
"Will the **high temp in Philadelphia** be 85-86° on Jul 4, 2025?",Philadelphia,2025-07-04,between,85,86,,38.00,63.00,2025-07-03 21:01:19,89,68,NO
"Will the **high temp in Austin** be 89-90° on Jul 3, 2025?",Austin,2025-07-03,between,89,90,,36.00,68.00,2025-07-02 21:01:41,87,77,NO
"Will the high temp in Chicago be 91-92° on Jul 3, 2025?",Chicago,2025-07-03,between,91,92,,48.00,56.00,2025-07-02 21:01:43,95,72,NO
"Will the **high temp in Denver** be 92-93° on Jul 3, 2025?",Denver,2025-07-03,between,92,93,,48.00,58.00,2025-07-02 21:01:40,93,57,YES
"Will the **high temp in LA** be 71-72° on Jul 3, 2025?",Los Angeles,2025-07-03,between,71,72,,56.00,49.00,2025-07-02 21:01:40,73,63,NO
"Will the **high temp in Miami** be 87-88° on Jul 3, 2025?",Miami,2025-07-03,between,87,88,,46.00,58.00,2025-07-02 21:01:42,87,75,YES
"Will the **high temp in NYC** be 87-88° on Jul 3, 2025?",New York,2025-07-03,between,87,88,,40.00,65.00,2025-07-02 21:01:41,88,72,YES
"Will the **high temp in Philadelphia** be 90-91° on Jul 3, 2025?",Philadelphia,2025-07-03,between,90,91,,43.00,63.00,2025-07-02 21:01:42,92,75,NO
"Will the **high temp in Austin** be 93-94° on Jul 2, 2025?",Austin,2025-07-02,between,93,94,,48.00,60.00,2025-07-01 21:01:28,94,73,YES
"Will the high temp in Chicago be 90-91° on Jul 2, 2025?",Chicago,2025-07-02,between,90,91,,46.00,57.00,2025-07-01 21:01:30,91,71,YES
"Will the **high temp in Denver** be 93-94° on Jul 2, 2025?",Denver,2025-07-02,between,93,94,,56.00,50.00,2025-07-01 21:01:27,92,56,NO
"Will the **high temp in LA** be 70-71° on Jul 2, 2025?",Los Angeles,2025-07-02,between,70,71,,53.00,51.00,2025-07-01 21:01:27,70,60,YES
"Will the **high temp in Miami** be 88-89° on Jul 2, 2025?",Miami,2025-07-02,between,88,89,,53.00,51.00,2025-07-01 21:01:29,89,76,YES
"Will the **high temp in NYC** be 83-84° on Jul 2, 2025?",New York,2025-07-02,between,83,84,,46.00,58.00,2025-07-01 21:01:28,84,71,YES
"Will the **high temp in Philadelphia** be 83-84° on Jul 2, 2025?",Philadelphia,2025-07-02,between,83,84,,53.00,80.00,2025-07-01 21:01:29,87,72,NO
"Will the **high temp in Austin** be 95-96° on Jul 1, 2025?",Austin,2025-07-01,between,95,96,,52.00,54.00,2025-06-30 21:01:38,93,71,NO
"Will the high temp in Chicago be 86-87° on Jul 1, 2025?",Chicago,2025-07-01,between,86,87,,35.00,69.00,2025-06-30 21:01:40,87,70,YES
"Will the **high temp in Denver** be 91-92° on Jul 1, 2025?",Denver,2025-07-01,between,91,92,,43.00,58.00,2025-06-30 21:01:37,93,58,NO
"Will the **high temp in LA** be 71-72° on Jul 1, 2025?",Los Angeles,2025-07-01,between,71,72,,53.00,48.00,2025-06-30 21:01:37,70,61,NO
"Will the **high temp in Miami** be 88-89° on Jul 1, 2025?",Miami,2025-07-01,between,88,89,,46.00,57.00,2025-06-30 21:01:39,89,75,YES
"Will the **high temp in NYC** be 88-89° on Jul 1, 2025?",New York,2025-07-01,between,88,89,,40.00,64.00,2025-06-30 21:01:38,89,73,YES
"Will the **high temp in Philadelphia** be 90-91° on Jul 1, 2025?",Philadelphia,2025-07-01,between,90,91,,46.00,58.00,2025-06-30 21:01:39,93,74,NO
"Will the **high temp in Austin** be 94-95° on Jun 30, 2025?",Austin,2025-06-30,between,94,95,,45.00,61.00,2025-06-29 21:01:11,86,72,NO
"Will the high temp in Chicago be 88-89° on Jun 30, 2025?",Chicago,2025-06-30,between,88,89,,38.00,67.00,2025-06-29 21:01:13,90,74,NO
"Will the **high temp in Denver** be 78-79° on Jun 30, 2025?",Denver,2025-06-30,between,78,79,,43.00,59.00,2025-06-29 21:01:10,81,57,NO
"Will the **high temp in LA** be 71-72° on Jun 30, 2025?",Los Angeles,2025-06-30,between,71,72,,56.00,52.00,2025-06-29 21:01:10,72,62,YES
"Will the **high temp in Miami** be 90-91° on Jun 30, 2025?",Miami,2025-06-30,between,90,91,,55.00,51.00,2025-06-29 21:01:12,91,76,YES
"Will the **high temp in NYC** be <86° on Jun 30, 2025?",New York,2025-06-30,less,,86,,56.00,49.00,2025-06-29 21:01:11,90,71,NO
