market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_bid,no_bid,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Austin** be <93° on Jul 16, 2025?",Austin,2025-07-16,less,,93,,1.00,91.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be >100° on Jul 16, 2025?",Austin,2025-07-16,greater,,100,,1.00,98.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 93-94° on Jul 16, 2025?",Austin,2025-07-16,between,93,94,,25.00,67.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 95-96° on Jul 16, 2025?",Austin,2025-07-16,between,95,96,,44.00,51.00,2025-07-15 21:01:36,95,78,YES
"Will the **high temp in Austin** be 97-98° on Jul 16, 2025?",Austin,2025-07-16,between,97,98,,21.00,69.00,2025-07-15 21:01:36,95,78,NO
"Will the **high temp in Austin** be 99-100° on Jul 16, 2025?",Austin,2025-07-16,between,99,100,,8.00,83.00,2025-07-15 21:01:36,95,78,NO
"Will the high temp in Chicago be <89° on Jul 16, 2025?",Chicago,2025-07-16,less,,89,,6.00,86.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be >96° on Jul 16, 2025?",Chicago,2025-07-16,greater,,96,,3.00,96.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 89-90° on Jul 16, 2025?",Chicago,2025-07-16,between,89,90,,23.00,66.00,2025-07-15 21:01:37,90,72,YES
"Will the high temp in Chicago be 91-92° on Jul 16, 2025?",Chicago,2025-07-16,between,91,92,,22.00,60.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 93-94° on Jul 16, 2025?",Chicago,2025-07-16,between,93,94,,24.00,64.00,2025-07-15 21:01:37,90,72,NO
"Will the high temp in Chicago be 95-96° on Jul 16, 2025?",Chicago,2025-07-16,between,95,96,,13.00,73.00,2025-07-15 21:01:37,90,72,NO
"Will the **high temp in Denver** be <85° on Jul 16, 2025?",Denver,2025-07-16,less,,85,,68.00,30.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be >92° on Jul 16, 2025?",Denver,2025-07-16,greater,,92,,0.00,98.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 85-86° on Jul 16, 2025?",Denver,2025-07-16,between,85,86,,26.00,72.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 87-88° on Jul 16, 2025?",Denver,2025-07-16,between,87,88,,5.00,91.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 89-90° on Jul 16, 2025?",Denver,2025-07-16,between,89,90,,2.00,96.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in Denver** be 91-92° on Jul 16, 2025?",Denver,2025-07-16,between,91,92,,3.00,95.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in LA** be <67° on Jul 16, 2025?",Los Angeles,2025-07-16,less,,67,,0.00,99.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be >74° on Jul 16, 2025?",Los Angeles,2025-07-16,greater,,74,,26.00,72.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 67-68° on Jul 16, 2025?",Los Angeles,2025-07-16,between,67,68,,0.00,99.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 69-70° on Jul 16, 2025?",Los Angeles,2025-07-16,between,69,70,,3.00,93.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 71-72° on Jul 16, 2025?",Los Angeles,2025-07-16,between,71,72,,27.00,69.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in LA** be 73-74° on Jul 16, 2025?",Los Angeles,2025-07-16,between,73,74,,41.00,53.00,2025-07-15 21:01:34,74,64,YES
"Will the **high temp in Miami** be <83° on Jul 16, 2025?",Miami,2025-07-16,less,,83,,0.00,99.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be >90° on Jul 16, 2025?",Miami,2025-07-16,greater,,90,,11.00,88.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 83-84° on Jul 16, 2025?",Miami,2025-07-16,between,83,84,,1.00,96.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 85-86° on Jul 16, 2025?",Miami,2025-07-16,between,85,86,,16.00,80.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 87-88° on Jul 16, 2025?",Miami,2025-07-16,between,87,88,,41.00,55.00,2025-07-15 21:01:36,90,75,NO
"Will the **high temp in Miami** be 89-90° on Jul 16, 2025?",Miami,2025-07-16,between,89,90,,33.00,66.00,2025-07-15 21:01:36,90,75,YES
"Will the **high temp in NYC** be <86° on Jul 16, 2025?",New York,2025-07-16,less,,86,,1.00,97.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be >93° on Jul 16, 2025?",New York,2025-07-16,greater,,93,,2.00,97.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 86-87° on Jul 16, 2025?",New York,2025-07-16,between,86,87,,25.00,72.00,2025-07-15 21:01:35,87,77,YES
"Will the **high temp in NYC** be 88-89° on Jul 16, 2025?",New York,2025-07-16,between,88,89,,38.00,57.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 90-91° on Jul 16, 2025?",New York,2025-07-16,between,90,91,,26.00,69.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in NYC** be 92-93° on Jul 16, 2025?",New York,2025-07-16,between,92,93,,9.00,90.00,2025-07-15 21:01:35,87,77,NO
"Will the **high temp in Philadelphia** be <85° on Jul 16, 2025?",Philadelphia,2025-07-16,less,,85,,0.00,99.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Philadelphia** be >92° on Jul 16, 2025?",Philadelphia,2025-07-16,greater,,92,,13.00,81.00,2025-07-15 21:01:37,93,76,NO
