commence_time,home_team_name,away_team_name,spread,home_spread_odds,away_spread_odds,home_money_line_odds,away_money_line_odds,home_score,away_score
2023-03-30 17:05:00,New York Yankees,San Francisco Giants,-1.5,125.00,-145.00,-184.00,154.00,5,0
2023-03-30 19:10:00,Tampa Bay Rays,Detroit Tigers,-1.5,-110.00,-110.00,-230.00,190.00,4,0
2023-03-31 01:40:00,San Diego Padres,Colorado Rockies,-1.5,105.00,-125.00,-210.00,176.00,2,7
2023-03-30 23:08:00,Houston Astros,Chicago White Sox,-1.5,135.00,-155.00,-156.00,132.00,2,3
2023-03-31 02:07:00,Oakland Athletics,Los Angeles Angels,1.5,100.00,-120.00,194.00,-235.00,2,1
2023-03-31 02:10:00,Los Angeles Dodgers,Arizona Diamondbacks,-1.5,120.00,-140.00,-184.00,154.00,8,2
2023-03-30 20:20:00,St. Louis Cardinals,Toronto Blue Jays,1.5,-170.00,145.00,176.00,-230.00,9,10
2023-04-01 00:10:00,Houston Astros,Chicago White Sox,-1.5,135.00,-155.00,-156.00,132.00,6,3
2023-04-01 01:40:00,San Diego Padres,Colorado Rockies,-1.5,115.00,-135.00,-184.00,154.00,1,4
2023-04-01 02:10:00,Los Angeles Dodgers,Arizona Diamondbacks,-1.5,130.00,-150.00,-188.00,158.00,1,2
2023-04-01 02:10:00,Seattle Mariners,Cleveland Guardians,-1.5,125.00,-145.00,-172.00,144.00,4,9
2023-04-01 20:07:00,Oakland Athletics,Los Angeles Angels,1.5,-115.00,-105.00,146.00,-174.00,1,13
2023-04-01 20:10:00,Boston Red Sox,Baltimore Orioles,-1.5,105.00,-125.00,-162.00,136.00,9,8
2023-04-01 20:10:00,Tampa Bay Rays,Detroit Tigers,-1.5,125.00,-145.00,-174.00,146.00,12,2
2023-04-01 20:10:00,Kansas City Royals,Minnesota Twins,1.5,-120.00,100.00,136.00,-162.00,0,2
2023-04-02 00:40:00,San Diego Padres,Colorado Rockies,-1.5,-115.00,-105.00,-220.00,184.00,8,4
2023-04-02 17:10:00,Tampa Bay Rays,Detroit Tigers,-1.5,100.00,-120.00,-225.00,188.00,5,1
2023-04-02 17:35:00,Washington Nationals,Atlanta Braves,1.5,-105.00,-115.00,152.00,-180.00,4,1
2023-04-02 18:10:00,Houston Astros,Chicago White Sox,-1.5,115.00,-135.00,-166.00,140.00,3,6
2023-04-02 18:10:00,Kansas City Royals,Minnesota Twins,1.5,-125.00,105.00,134.00,-158.00,4,7
2023-04-02 20:07:00,Oakland Athletics,Los Angeles Angels,1.5,-125.00,105.00,144.00,-172.00,0,6
2023-04-02 20:10:00,Los Angeles Dodgers,Arizona Diamondbacks,-1.5,115.00,-135.00,-190.00,160.00,1,2
2023-04-02 20:10:00,San Diego Padres,Colorado Rockies,-1.5,-115.00,-105.00,-225.00,188.00,3,1
2023-04-02 23:08:00,Texas Rangers,Philadelphia Phillies,-1.5,160.00,-190.00,-240.00,186.00,2,1
2023-04-03 23:06:00,New York Yankees,Philadelphia Phillies,-1.5,125.00,-145.00,-164.00,138.00,8,1
2023-04-03 23:05:00,Washington Nationals,Tampa Bay Rays,1.5,-105.00,-115.00,154.00,-184.00,2,6
2023-04-03 23:10:00,Boston Red Sox,Pittsburgh Pirates,-1.5,110.00,-130.00,-178.00,150.00,6,7
2023-04-04 00:05:00,Texas Rangers,Baltimore Orioles,-1.5,135.00,-155.00,-154.00,130.00,0,2
2023-04-04 00:10:00,Houston Astros,Detroit Tigers,-1.5,-115.00,-105.00,-230.00,190.00,6,7
2023-04-04 01:40:00,Seattle Mariners,Los Angeles Angels,-1.5,145.00,-170.00,-154.00,130.00,3,7
2023-04-04 02:10:00,Los Angeles Dodgers,Colorado Rockies,-1.5,-115.00,-105.00,-240.00,198.00,13,4
2023-04-03 22:40:00,Cincinnati Reds,Chicago Cubs,1.5,-150.00,130.00,-215.00,166.00,7,6
2023-04-04 01:40:00,Oakland Athletics,Cleveland Guardians,1.5,-145.00,125.00,130.00,-154.00,11,12
2023-04-04 22:40:00,Miami Marlins,Minnesota Twins,-1.5,150.00,-175.00,-154.00,130.00,1,0
2023-04-04 23:05:00,New York Yankees,Philadelphia Phillies,-1.5,125.00,-145.00,-158.00,134.00,1,4
2023-04-04 23:05:00,Washington Nationals,Tampa Bay Rays,1.5,-115.00,-105.00,144.00,-172.00,6,10
2023-04-04 23:40:00,Kansas City Royals,Toronto Blue Jays,1.5,-115.00,-105.00,132.00,-156.00,1,4
2023-04-04 23:39:42,Milwaukee Brewers,New York Mets,1.5,-125.00,105.00,138.00,-164.00,9,0
2023-04-05 01:40:00,Oakland Athletics,Cleveland Guardians,1.5,-105.00,-115.00,172.00,-205.00,4,3
2023-04-05 01:40:00,Seattle Mariners,Los Angeles Angels,-1.5,135.00,-155.00,-164.00,138.00,11,2
2023-04-04 22:40:00,Cincinnati Reds,Chicago Cubs,1.5,-145.00,125.00,-260.00,194.00,5,12
2023-04-04 23:10:00,Boston Red Sox,Pittsburgh Pirates,-1.5,140.00,-165.00,148.00,-190.00,1,4
2023-04-05 17:05:00,Washington Nationals,Tampa Bay Rays,1.5,115.00,-135.00,205.00,-250.00,2,7
2023-04-05 17:35:00,Boston Red Sox,Pittsburgh Pirates,-1.5,135.00,-155.00,-154.00,130.00,1,4
2023-04-05 18:10:00,Houston Astros,Detroit Tigers,-1.5,-105.00,-115.00,-245.00,200.00,8,2
2023-04-05 20:10:00,Seattle Mariners,Los Angeles Angels,1.5,-150.00,130.00,134.00,-158.00,3,4
2023-04-05 23:40:00,Kansas City Royals,Toronto Blue Jays,1.5,-115.00,-105.00,164.00,-196.00,0,3
2023-04-06 17:10:00,Detroit Tigers,Boston Red Sox,1.5,-130.00,110.00,130.00,-154.00,3,6
2023-04-06 18:10:00,Kansas City Royals,Toronto Blue Jays,1.5,100.00,-120.00,168.00,-200.00,3,6
2023-04-06 23:20:00,Atlanta Braves,San Diego Padres,-1.5,130.00,-150.00,-164.00,138.00,7,6
2023-04-07 02:10:00,Arizona Diamondbacks,Los Angeles Dodgers,1.5,-125.00,105.00,138.00,-164.00,2,5
2023-04-07 17:10:00,New York Mets,Miami Marlins,-1.5,130.00,-150.00,-156.00,132.00,9,3
2023-04-07 19:05:00,Philadelphia Phillies,Cincinnati Reds,-1.5,110.00,-130.00,-210.00,176.00,5,2
2023-04-07 20:35:00,San Francisco Giants,Kansas City Royals,-1.5,120.00,-140.00,-168.00,142.00,1,3
2023-04-07 22:40:00,Tampa Bay Rays,Oakland Athletics,-1.5,-105.00,-115.00,-225.00,188.00,9,5
2023-04-08 00:10:00,Milwaukee Brewers,St. Louis Cardinals,-1.5,135.00,-155.00,-162.00,136.00,4,0
2023-04-08 01:40:00,Arizona Diamondbacks,Los Angeles Dodgers,1.5,105.00,-125.00,188.00,-225.00,6,3
