market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_ask,no_ask,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Austin** be 92-93° on Jul 18, 2025?",Austin,2025-07-18,between,92,93,,32.00,77.00,2025-07-17 21:02:04,95,70,NO
"Will the high temp in Chicago be 83-84° on Jul 18, 2025?",Chicago,2025-07-18,between,83,84,,33.00,80.00,2025-07-17 21:02:06,80,58,NO
"Will the **high temp in Denver** be 90-91° on Jul 18, 2025?",Denver,2025-07-18,between,90,91,,33.00,70.00,2025-07-17 21:02:03,93,62,NO
"Will the **high temp in LA** be 74-75° on Jul 18, 2025?",Los Angeles,2025-07-18,between,74,75,,28.00,75.00,2025-07-17 21:02:03,73,64,NO
"Will the **high temp in Miami** be 90-91° on Jul 18, 2025?",Miami,2025-07-18,between,90,91,,36.00,68.00,2025-07-17 21:02:05,92,83,NO
"Will the **high temp in NYC** be 85-86° on Jul 18, 2025?",New York,2025-07-18,between,85,86,,35.00,67.00,2025-07-17 21:02:04,88,73,NO
"Will the **high temp in Philadelphia** be 86-87° on Jul 18, 2025?",Philadelphia,2025-07-18,between,86,87,,37.00,67.00,2025-07-17 21:02:05,93,79,NO
"Will the **high temp in Austin** be 94-95° on Jul 17, 2025?",Austin,2025-07-17,between,94,95,,43.00,65.00,2025-07-16 21:02:02,95,72,YES
"Will the high temp in Chicago be 75-76° on Jul 17, 2025?",Chicago,2025-07-17,between,75,76,,43.00,61.00,2025-07-16 21:02:04,78,65,NO
"Will the **high temp in Denver** be 88-89° on Jul 17, 2025?",Denver,2025-07-17,between,88,89,,30.00,74.00,2025-07-16 21:02:00,90,56,NO
"Will the **high temp in LA** be 73-74° on Jul 17, 2025?",Los Angeles,2025-07-17,between,73,74,,39.00,66.00,2025-07-16 21:02:01,73,63,YES
"Will the **high temp in Miami** be 91-92° on Jul 17, 2025?",Miami,2025-07-17,between,91,92,,32.00,71.00,2025-07-16 21:02:03,91,82,YES
"Will the **high temp in NYC** be 93-94° on Jul 17, 2025?",New York,2025-07-17,between,93,94,,31.00,72.00,2025-07-16 21:02:01,90,75,NO
"Will the **high temp in Philadelphia** be >95° on Jul 17, 2025?",Philadelphia,2025-07-17,greater,,95,,29.00,73.00,2025-07-16 21:02:03,95,75,NO
"Will the **high temp in Austin** be 93-94° on Jul 16, 2025?",Austin,2025-07-16,between,93,94,,33.00,75.00,2025-07-15 21:01:36,95,78,NO
"Will the high temp in Chicago be 93-94° on Jul 16, 2025?",Chicago,2025-07-16,between,93,94,,36.00,76.00,2025-07-15 21:01:37,90,72,NO
"Will the **high temp in Denver** be 85-86° on Jul 16, 2025?",Denver,2025-07-16,between,85,86,,28.00,74.00,2025-07-15 21:01:34,77,60,NO
"Will the **high temp in LA** be 71-72° on Jul 16, 2025?",Los Angeles,2025-07-16,between,71,72,,31.00,73.00,2025-07-15 21:01:34,74,64,NO
"Will the **high temp in Miami** be 89-90° on Jul 16, 2025?",Miami,2025-07-16,between,89,90,,34.00,67.00,2025-07-15 21:01:36,90,75,YES
"Will the **high temp in NYC** be 90-91° on Jul 16, 2025?",New York,2025-07-16,between,90,91,,31.00,74.00,2025-07-15 21:01:35,87,77,NO
