City,Date,Temp_Range,8AM_Bid,Ending_Cost,Won
NY,JUL-20-2024,86° to 87°,20,0,Lost
CHI,JUL-20-2024,82° to 83°,28,0,Lost
MIA,JUL-20-2024,93° to 94°,35,0,Lost
NY,JUL-21-2024,84° to 85°,12,0,Lost
CHI,JUL-21-2024,82° to 83°,12,0,Lost
MIA,JUL-21-2024,92° to 93°,15,0,Won
NY,JUL-22-2024,81° to 82°,1,0,Lost
CHI,JUL-22-2024,83° to 84°,40,0,Won
MIA,JUL-22-2024,89° to 90°,40,0,Won
NY,JAN-01-2024,41° or below,4,0,Lost
CHI,JAN-01-2024,33° to 34°,4,0,Won
MIA,JAN-01-2024,69° to 70°,4,0,Lost
NY,JAN-02-2024,42° to 43°,22,0,Won
CHI,JAN-02-2024,35° to 36°,1,0,Lost
MIA,JAN-02-2024,71° to 72°,22,0,Won
NY,JAN-03-2024,44° to 45°,47,0,Lost
CHI,JAN-03-2024,37° to 38°,30,0,Won
MIA,JAN-03-2024,74° to 75°,40,0,Won
NY,JAN-04-2024,43° to 44°,49,0,Lost
CHI,JAN-04-2024,35° to 36°,35,0,Lost
MIA,JAN-04-2024,77° to 78°,42,0,Lost
NY,JAN-05-2024,37° to 38°,27,0,Won
MIA,JAN-05-2024,74° to 75°,8,0,Lost
NY,JAN-06-2024,37° to 38°,7,0,Won
CHI,JAN-06-2024,32° or below,1,0,Lost
MIA,JAN-06-2024,82° to 83°,4,0,Lost
NY,JAN-07-2024,39° or above,20,0,Lost
CHI,JAN-07-2024,37° to 38°,7,0,Lost
MIA,JAN-07-2024,73° to 74°,3,0,Won
NY,JAN-08-2024,42° to 43°,42,0,Lost
CHI,JAN-08-2024,35° to 36°,6,0,Lost
MIA,JAN-08-2024,75° to 76°,50,0,Won
NY,JAN-09-2024,55° or above,35,0,Won
CHI,JAN-09-2024,37° to 38°,40,0,Won
MIA,JAN-09-2024,84° or above,1,0,Lost
NY,JAN-10-2024,54° or above,97,0,Won
CHI,JAN-10-2024,35° or above,10,0,Won
MIA,JAN-10-2024,77° to 78°,75,0,Won
NY,JAN-11-2024,45° to 46°,1,0,Lost
CHI,JAN-11-2024,31° to 32°,1,0,Lost
MIA,JAN-11-2024,74° to 75°,1,0,Lost
NY,JAN-12-2024,47° to 48°,15,0,Lost
CHI,JAN-12-2024,36° to 37°,24,0,Lost
