City,Date,Temp_Range,9PM_Ask,Ending_Cost,Won
NY,JUL-20-2024,86° to 87°,40,0,Lost
CHI,JUL-20-2024,82° to 83°,38,0,Lost
MIA,JUL-20-2024,91° to 92°,50,0,Won
NY,JUL-21-2024,86° to 87°,44,0,Lost
CHI,JUL-21-2024,84° to 85°,43,0,Won
MIA,JUL-21-2024,92° to 93°,59,0,Won
NY,JUL-22-2024,85° to 86°,44,0,Lost
CHI,JUL-22-2024,83° to 84°,43,0,Won
MIA,JUL-22-2024,89° to 90°,51,0,Won
NY,JAN-01-2024,42° to 43°,95,0,Lost
CHI,JAN-01-2024,35° to 36°,99,0,Lost
MIA,JAN-01-2024,73° to 74°,95,0,Won
NY,JAN-02-2024,46° to 47°,99,0,Lost
CHI,JAN-02-2024,35° to 36°,99,0,Lost
MIA,JAN-02-2024,71° to 72°,95,0,Won
NY,JAN-03-2024,42° to 43°,79,0,Won
CHI,JAN-03-2024,30° or below,90,0,Lost
MIA,JAN-03-2024,69° or below,95,0,Lost
NY,JAN-04-2024,40° or below,95,0,Lost
CHI,JAN-04-2024,30° or below,97,0,Lost
MIA,JAN-04-2024,83° or above,93,0,Lost
NY,JAN-05-2024,37° to 38°,44,0,Won
CHI,JAN-05-2024,35° to 36°,100,0,Lost
MIA,JAN-05-2024,76° to 77°,52,0,Lost
NY,JAN-06-2024,41° to 42°,87,0,Lost
CHI,JAN-06-2024,33° to 34°,95,0,Lost
MIA,JAN-06-2024,76° to 77°,89,0,Lost
NY,JAN-07-2024,30° or below,95,0,Lost
CHI,JAN-07-2024,33° to 34°,99,0,Lost
MIA,JAN-07-2024,72° or below,97,0,Lost
NY,JAN-08-2024,42° to 43°,43,0,Lost
CHI,JAN-08-2024,32° or below,59,0,Lost
MIA,JAN-08-2024,75° to 76°,52,0,Won
NY,JAN-09-2024,46° or below,99,0,Lost
CHI,JAN-09-2024,32° or below,99,0,Lost
MIA,JAN-09-2024,75° or below,99,0,Lost
NY,JAN-10-2024,54° or above,99,0,Won
CHI,JAN-10-2024,33° to 34°,99,0,Lost
MIA,JAN-10-2024,75° to 76°,99,0,Lost
NY,JAN-11-2024,47° to 48°,41,0,Won
CHI,JAN-11-2024,35° to 36°,50,0,Won
MIA,JAN-11-2024,76° to 77°,54,0,Lost
CHI,JAN-12-2024,34° to 35°,99,0,Lost
MIA,JAN-12-2024,84° or above,59,0,Won
NY,JAN-13-2024,54° to 55°,97,0,Lost
CHI,JAN-13-2024,28° or above,100,0,Won
MIA,JAN-13-2024,81° to 82°,45,0,Lost
NY,JAN-14-2024,42° to 43°,100,0,Lost
CHI,JAN-14-2024,5° to 6°,49,0,Lost
MIA,JAN-14-2024,73° to 74°,51,0,Lost
NY,JAN-15-2024,31° to 32°,46,0,Lost
CHI,JAN-15-2024,1° to 2°,45,0,Lost
MIA,JAN-15-2024,81° to 82°,49,0,Won
NY,JAN-16-2024,34° to 35°,49,0,Lost
CHI,JAN-16-2024,3° to 4°,48,0,Lost
MIA,JAN-16-2024,83° to 84°,49,0,Lost
NY,JAN-17-2024,26° to 27°,41,0,Lost
CHI,JAN-17-2024,23° to 24°,95,0,Won
MIA,JAN-17-2024,76° or above,99,0,Lost
