City,Date,Temp_Range,9PM_Bid,Ending_Cost,Won
NY,JUL-20-2024,86° to 87°,35,0,Lost
CHI,JUL-20-2024,82° to 83°,33,0,Lost
MIA,JUL-20-2024,91° to 92°,42,0,Won
NY,JUL-21-2024,86° to 87°,38,0,Lost
CHI,JUL-21-2024,84° to 85°,36,0,Won
MIA,JUL-21-2024,92° to 93°,51,0,Won
NY,JUL-22-2024,85° to 86°,39,0,Lost
CHI,JUL-22-2024,83° to 84°,36,0,Won
MIA,JUL-22-2024,89° to 90°,45,0,Won
NY,JAN-01-2024,41° or below,4,0,Lost
CHI,JAN-01-2024,33° to 34°,4,0,Won
MIA,JAN-01-2024,71° to 72°,4,0,Lost
NY,JAN-02-2024,42° to 43°,22,0,Won
CHI,JAN-02-2024,35° to 36°,1,0,Lost
MIA,JAN-02-2024,71° to 72°,22,0,Won
NY,JAN-03-2024,44° to 45°,40,0,Lost
CHI,JAN-03-2024,35° to 36°,39,0,Lost
MIA,JAN-03-2024,74° to 75°,48,0,Won
NY,JAN-04-2024,43° to 44°,41,0,Lost
CHI,JAN-04-2024,35° to 36°,47,0,Lost
MIA,JAN-04-2024,77° to 78°,40,0,Lost
NY,JAN-05-2024,37° to 38°,37,0,Won
CHI,JAN-05-2024,39° to 40°,46,0,Lost
MIA,JAN-05-2024,76° to 77°,45,0,Lost
NY,JAN-06-2024,37° to 38°,42,0,Won
CHI,JAN-06-2024,35° to 36°,42,0,Won
MIA,JAN-06-2024,82° to 83°,45,0,Lost
NY,JAN-07-2024,37° to 38°,46,0,Won
CHI,JAN-07-2024,37° to 38°,40,0,Lost
MIA,JAN-07-2024,75° to 76°,52,0,Lost
NY,JAN-08-2024,42° to 43°,38,0,Lost
CHI,JAN-08-2024,37° to 38°,42,0,Won
MIA,JAN-08-2024,75° to 76°,47,0,Won
NY,JAN-09-2024,55° or above,22,0,Won
CHI,JAN-09-2024,37° to 38°,43,0,Won
MIA,JAN-09-2024,80° to 81°,49,0,Won
NY,JAN-10-2024,54° or above,70,0,Won
CHI,JAN-10-2024,33° to 34°,23,0,Lost
MIA,JAN-10-2024,75° to 76°,17,0,Lost
NY,JAN-11-2024,47° to 48°,35,0,Won
CHI,JAN-11-2024,35° to 36°,42,0,Won
MIA,JAN-11-2024,76° to 77°,48,0,Lost
CHI,JAN-12-2024,36° to 37°,25,0,Lost
MIA,JAN-12-2024,84° or above,52,0,Won
NY,JAN-13-2024,56° to 57°,45,0,Lost
CHI,JAN-13-2024,28° or above,71,0,Won
MIA,JAN-13-2024,81° to 82°,38,0,Lost
NY,JAN-14-2024,38° to 39°,40,0,Lost
CHI,JAN-14-2024,3° to 4°,15,0,Lost
MIA,JAN-14-2024,73° to 74°,42,0,Lost
NY,JAN-15-2024,31° to 32°,40,0,Lost
CHI,JAN-15-2024,3° to 4°,8,0,Won
MIA,JAN-15-2024,81° to 82°,43,0,Won
NY,JAN-16-2024,34° to 35°,44,0,Lost
CHI,JAN-16-2024,3° to 4°,42,0,Lost
MIA,JAN-16-2024,83° to 84°,42,0,Lost
NY,JAN-17-2024,26° to 27°,34,0,Lost
CHI,JAN-17-2024,23° to 24°,8,0,Won
MIA,JAN-17-2024,72° to 73°,28,0,Lost
NY,JAN-18-2024,33° to 34°,53,0,Won
CHI,JAN-18-2024,24° to 25°,36,0,Lost
MIA,JAN-18-2024,80° to 81°,47,0,Won
NY,JAN-19-2024,30° to 31°,33,0,Lost
CHI,JAN-19-2024,16° to 17°,37,0,Won
MIA,JAN-19-2024,81° to 82°,51,0,Lost
NY,JAN-20-2024,26° to 27°,30,0,Won
CHI,JAN-20-2024,17° to 18°,33,0,Lost
MIA,JAN-20-2024,73° to 74°,41,0,Won
NY,JAN-21-2024,31° to 32°,42,0,Won
CHI,JAN-21-2024,24° or above,43,0,Lost
MIA,JAN-21-2024,70° to 71°,38,0,Won
NY,JAN-22-2024,37° to 38°,36,0,Won
CHI,JAN-22-2024,31° to 32°,11,0,Lost
MIA,JAN-22-2024,73° to 74°,35,0,Lost
NY,JAN-23-2024,38° to 39°,45,0,Lost
CHI,JAN-23-2024,36° to 37°,38,0,Lost
MIA,JAN-23-2024,78° to 79°,46,0,Lost
NY,JAN-24-2024,45° or above,35,0,Won
CHI,JAN-24-2024,41° or above,47,0,Lost
MIA,JAN-24-2024,81° to 82°,54,0,Won
NY,JAN-25-2024,52° to 53°,35,0,Lost
CHI,JAN-25-2024,41° or above,56,0,Won
MIA,JAN-25-2024,81° to 82°,52,0,Lost
NY,JAN-26-2024,50° or above,53,0,Lost
CHI,JAN-26-2024,40° to 41°,48,0,Lost
MIA,JAN-26-2024,81° to 82°,60,0,Won
NY,JAN-27-2024,46° to 47°,40,0,Lost
CHI,JAN-27-2024,41° to 42°,45,0,Won
MIA,JAN-27-2024,81° to 82°,50,0,Won
NY,JAN-28-2024,43° to 44°,42,0,Won
CHI,JAN-28-2024,39° to 40°,40,0,Lost
MIA,JAN-28-2024,85° to 86°,40,0,Won
NY,JAN-29-2024,42° to 43°,41,0,Lost
CHI,JAN-29-2024,42° to 43°,32,0,Lost
MIA,JAN-29-2024,69° to 70°,39,0,Lost
NY,JAN-30-2024,37° to 38°,36,0,Won
CHI,JAN-30-2024,41° to 42°,38,0,Won
MIA,JAN-30-2024,71° to 72°,42,0,Lost
NY,JAN-31-2024,41° to 42°,50,0,Lost
CHI,JAN-31-2024,46° to 47°,35,0,Lost
MIA,JAN-31-2024,74° to 75°,53,0,Lost
NY,FEB-01-2024,47° to 48°,44,0,Lost
CHI,FEB-01-2024,45° to 46°,33,0,Lost
MIA,FEB-01-2024,74° to 75°,60,0,Won
NY,FEB-02-2024,45° to 46°,44,0,Won
CHI,FEB-02-2024,41° to 42°,28,0,Lost
MIA,FEB-02-2024,77° to 78°,56,0,Won
NY,FEB-03-2024,42° to 43°,46,0,Won
CHI,FEB-03-2024,45° to 46°,27,0,Lost
MIA,FEB-03-2024,77° to 78°,46,0,Won
NY,FEB-04-2024,44° to 45°,47,0,Lost
CHI,FEB-04-2024,42° to 43°,31,0,Lost
MIA,FEB-04-2024,78° to 79°,46,0,Lost
NY,FEB-05-2024,46° to 47°,41,0,Lost
CHI,FEB-05-2024,44° to 45°,28,0,Won
MIA,FEB-05-2024,72° to 73°,38,0,Lost
NY,FEB-06-2024,41° to 42°,54,0,Won
CHI,FEB-06-2024,48° to 49°,32,0,Lost
MIA,FEB-06-2024,69° to 70°,50,0,Lost
NY,FEB-07-2024,44° to 45°,43,0,Lost
CHI,FEB-07-2024,51° to 52°,41,0,Lost
MIA,FEB-07-2024,75° to 76°,45,0,Lost
NY,FEB-08-2024,48° to 49°,49,0,Lost
CHI,FEB-08-2024,56° to 57°,43,0,Lost
MIA,FEB-08-2024,76° to 77°,50,0,Won
NY,FEB-09-2024,53° to 54°,33,0,Lost
CHI,FEB-09-2024,59° to 60°,45,0,Lost
MIA,FEB-09-2024,77° to 78°,57,0,Lost
NY,FEB-10-2024,58° to 59°,30,0,Lost
CHI,FEB-10-2024,45° or above,52,0,Lost
MIA,FEB-10-2024,77° to 78°,51,0,Won
NY,FEB-11-2024,52° to 53°,49,0,Lost
CHI,FEB-11-2024,42° to 43°,46,0,Won
MIA,FEB-11-2024,80° to 81°,62,0,Won
NY,FEB-12-2024,49° to 50°,37,0,Lost
CHI,FEB-12-2024,47° or above,50,0,Lost
MIA,FEB-12-2024,83° to 84°,56,0,Lost
NY,FEB-13-2024,40° or above,43,0,Won
CHI,FEB-13-2024,42° to 43°,38,0,Won
MIA,FEB-13-2024,81° to 82°,63,0,Won
NY,FEB-14-2024,37° to 38°,43,0,Won
CHI,FEB-14-2024,45° to 46°,37,0,Lost
MIA,FEB-14-2024,76° to 77°,46,0,Lost
NY,FEB-15-2024,40° to 41°,47,0,Lost
CHI,FEB-15-2024,44° or above,39,0,Won
MIA,FEB-15-2024,78° to 79°,61,0,Won
NY,FEB-16-2024,43° to 44°,40,0,Won
CHI,FEB-16-2024,35° to 36°,37,0,Lost
MIA,FEB-16-2024,80° to 81°,59,0,Lost
NY,FEB-17-2024,38° to 39°,41,0,Lost
CHI,FEB-17-2024,31° to 32°,38,0,Lost
MIA,FEB-17-2024,82° to 83°,43,0,Lost
NY,FEB-18-2024,39° to 40°,38,0,Won
CHI,FEB-18-2024,43° to 44°,39,0,Lost
MIA,FEB-18-2024,78° to 79°,43,0,Lost
NY,FEB-19-2024,41° to 42°,37,0,Won
CHI,FEB-19-2024,46° to 47°,37,0,Lost
MIA,FEB-19-2024,70° to 71°,42,0,Won
NY,FEB-20-2024,38° to 39°,49,0,Lost
CHI,FEB-20-2024,56° or above,60,0,Won
MIA,FEB-20-2024,71° to 72°,43,0,Lost
NY,FEB-21-2024,42° to 43°,40,0,Won
CHI,FEB-21-2024,62° to 63°,27,0,Lost
MIA,FEB-21-2024,73° to 74°,57,0,Won
NY,FEB-22-2024,46° to 47°,41,0,Lost
CHI,FEB-22-2024,56° or above,61,0,Won
MIA,FEB-22-2024,76° to 77°,50,0,Won
NY,FEB-23-2024,49° to 50°,37,0,Lost
CHI,FEB-23-2024,46° or above,50,0,Won
MIA,FEB-23-2024,78° to 79°,43,0,Won
NY,FEB-24-2024,42° to 43°,52,0,Lost
CHI,FEB-24-2024,37° to 38°,44,0,Lost
MIA,FEB-24-2024,78° to 79°,45,0,Lost
NY,FEB-25-2024,40° to 41°,50,0,Won
CHI,FEB-25-2024,60° or above,46,0,Won
MIA,FEB-25-2024,76° to 77°,56,0,Won
NY,FEB-26-2024,53° to 54°,48,0,Lost
CHI,FEB-26-2024,69° to 70°,21,0,Lost
MIA,FEB-26-2024,77° to 78°,40,0,Lost
NY,FEB-27-2024,56° to 57°,40,0,Lost
CHI,FEB-27-2024,75° to 76°,30,0,Lost
MIA,FEB-27-2024,76° to 77°,47,0,Lost
NY,FEB-28-2024,61° to 62°,33,0,Won
MIA,FEB-28-2024,79° to 80°,50,0,Won
NY,FEB-29-2024,43° or above,64,0,Won
CHI,FEB-29-2024,47° to 48°,31,0,Lost
MIA,FEB-29-2024,81° to 82°,54,0,Won
NY,MAR-01-2024,44° to 45°,38,0,Lost
CHI,MAR-01-2024,47° or below,32,0,Won
MIA,MAR-01-2024,81° to 82°,59,0,Lost
NY,MAR-02-2024,50° to 51°,43,0,Lost
CHI,MAR-02-2024,60° to 61°,31,0,Won
MIA,MAR-02-2024,80° to 81°,46,0,Won
NY,MAR-03-2024,62° to 63°,43,0,Lost
CHI,MAR-03-2024,70° to 71°,23,0,Lost
MIA,MAR-03-2024,83° to 84°,59,0,Won
NY,MAR-04-2024,56° to 57°,43,0,Lost
CHI,MAR-04-2024,76° or above,25,0,Lost
MIA,MAR-04-2024,83° to 84°,56,0,Lost
NY,MAR-05-2024,51° to 52°,47,0,Lost
CHI,MAR-05-2024,50° or above,62,0,Lost
MIA,MAR-05-2024,82° to 83°,51,0,Won
NY,MAR-06-2024,54° to 55°,32,0,Lost
CHI,MAR-06-2024,52° or above,37,0,Lost
MIA,MAR-06-2024,83° to 84°,56,0,Lost
NY,MAR-07-2024,52° to 53°,31,0,Lost
CHI,MAR-07-2024,51° to 52°,40,0,Lost
MIA,MAR-07-2024,83° to 84°,54,0,Lost
NY,MAR-08-2024,54° to 55°,47,0,Lost
CHI,MAR-08-2024,49° to 50°,34,0,Lost
MIA,MAR-08-2024,87° or above,55,0,Lost
NY,MAR-09-2024,49° to 50°,41,0,Won
CHI,MAR-09-2024,45° to 46°,36,0,Lost
MIA,MAR-09-2024,86° to 87°,62,0,Won
NY,MAR-10-2024,52° to 53°,63,0,Lost
CHI,MAR-10-2024,48° to 49°,33,0,Won
MIA,MAR-10-2024,87° to 88°,65,0,Won
NY,MAR-11-2024,50° to 51°,41,0,Lost
CHI,MAR-11-2024,64° to 65°,27,0,Lost
MIA,MAR-11-2024,79° to 80°,60,0,Won
NY,MAR-12-2024,65° or above,56,0,Won
CHI,MAR-12-2024,73° or above,37,0,Lost
MIA,MAR-12-2024,80° to 81°,62,0,Won
NY,MAR-13-2024,64° to 65°,34,0,Lost
CHI,MAR-13-2024,66° or above,69,0,Won
MIA,MAR-13-2024,83° to 84°,52,0,Lost
NY,MAR-14-2024,69° to 70°,31,0,Lost
CHI,MAR-14-2024,63° or above,43,0,Won
MIA,MAR-14-2024,83° to 84°,64,0,Won
NY,MAR-15-2024,68° or above,38,0,Won
CHI,MAR-15-2024,50° to 51°,28,0,Lost
MIA,MAR-15-2024,83° to 84°,69,0,Won
NY,MAR-16-2024,63° or above,32,0,Lost
CHI,MAR-16-2024,59° to 60°,37,0,Won
MIA,MAR-16-2024,85° to 86°,56,0,Won
NY,MAR-17-2024,62° to 63°,47,0,Won
CHI,MAR-17-2024,41° to 42°,40,0,Lost
MIA,MAR-17-2024,87° to 88°,70,0,Won
NY,MAR-18-2024,51° to 52°,51,0,Won
CHI,MAR-18-2024,40° to 41°,32,0,Lost
MIA,MAR-18-2024,89° to 90°,57,0,Lost
NY,MAR-19-2024,49° to 50°,44,0,Lost
CHI,MAR-19-2024,55° to 56°,32,0,Lost
MIA,MAR-19-2024,76° to 77°,45,0,Lost
NY,MAR-20-2024,55° to 56°,39,0,Lost
CHI,MAR-20-2024,43° or above,59,0,Won
MIA,MAR-20-2024,80° to 81°,62,0,Lost
NY,MAR-21-2024,42° to 43°,43,0,Won
CHI,MAR-21-2024,42° to 43°,34,0,Lost
MIA,MAR-21-2024,79° to 80°,43,0,Lost
NY,MAR-22-2024,43° to 44°,37,0,Lost
CHI,MAR-22-2024,42° to 43°,28,0,Lost
MIA,MAR-22-2024,77° to 78°,36,0,Lost
NY,MAR-23-2024,56° or above,49,0,Lost
CHI,MAR-23-2024,40° to 41°,37,0,Won
MIA,MAR-23-2024,81° to 82°,51,0,Lost
NY,MAR-24-2024,45° to 46°,36,0,Lost
CHI,MAR-24-2024,50° or above,34,0,Won
MIA,MAR-24-2024,79° to 80°,52,0,Lost
NY,MAR-25-2024,52° to 53°,44,0,Won
CHI,MAR-25-2024,60° to 61°,31,0,Lost
