city,date,time,datetime,temp_c,temp_f,model,time_period,comparison_pair,month,month_name,season,actual_temp_f,has_actual_temp
denver,2023-07-01,06:00,2023-07-01T06:00,11.5,52.7,NOA_blend_equivalent,morning,2023-07-01,7,July,Summer,79.7,True
miami,2023-07-01,06:00,2023-07-01T06:00,26.0,78.8,NOA_blend_equivalent,morning,2023-07-01,7,July,Summer,87.98,True
chicago,2023-07-01,06:00,2023-07-01T06:00,22.7,72.86,NOA_blend_equivalent,morning,2023-07-01,7,July,Summer,82.4,True
los_angeles,2023-07-01,06:00,2023-07-01T06:00,17.2,62.96,NOA_blend_equivalent,morning,2023-07-01,7,July,Summer,72.14,True
denver,2023-07-02,06:00,2023-07-02T06:00,14.1,57.38,NOA_blend_equivalent,morning,2023-07-02,7,July,Summer,82.75999999999999,True
denver,2023-07-01,18:00,2023-07-01T18:00,26.2,79.16,NOA_blend_equivalent,evening,2023-07-02,7,July,Summer,79.7,True
miami,2023-07-02,06:00,2023-07-02T06:00,26.0,78.8,NOA_blend_equivalent,morning,2023-07-02,7,July,Summer,88.88000000000001,True
miami,2023-07-01,18:00,2023-07-01T18:00,28.5,83.3,NOA_blend_equivalent,evening,2023-07-02,7,July,Summer,87.98,True
chicago,2023-07-02,06:00,2023-07-02T06:00,21.0,69.8,NOA_blend_equivalent,morning,2023-07-02,7,July,Summer,70.52,True
chicago,2023-07-01,18:00,2023-07-01T18:00,22.8,73.04,NOA_blend_equivalent,evening,2023-07-02,7,July,Summer,82.4,True
los_angeles,2023-07-02,06:00,2023-07-02T06:00,15.5,59.9,NOA_blend_equivalent,morning,2023-07-02,7,July,Summer,70.34,True
los_angeles,2023-07-01,18:00,2023-07-01T18:00,17.8,64.04,NOA_blend_equivalent,evening,2023-07-02,7,July,Summer,72.14,True
denver,2023-07-03,06:00,2023-07-03T06:00,14.2,57.56,NOA_blend_equivalent,morning,2023-07-03,7,July,Summer,87.44,True
denver,2023-07-02,18:00,2023-07-02T18:00,28.3,82.94,NOA_blend_equivalent,evening,2023-07-03,7,July,Summer,82.75999999999999,True
miami,2023-07-03,06:00,2023-07-03T06:00,26.3,79.34,NOA_blend_equivalent,morning,2023-07-03,7,July,Summer,89.78,True
miami,2023-07-02,18:00,2023-07-02T18:00,29.1,84.38000000000001,NOA_blend_equivalent,evening,2023-07-03,7,July,Summer,88.88000000000001,True
chicago,2023-07-03,06:00,2023-07-03T06:00,16.8,62.24,NOA_blend_equivalent,morning,2023-07-03,7,July,Summer,82.22,True
chicago,2023-07-02,18:00,2023-07-02T18:00,19.9,67.82,NOA_blend_equivalent,evening,2023-07-03,7,July,Summer,70.52,True
los_angeles,2023-07-03,06:00,2023-07-03T06:00,15.0,59.0,NOA_blend_equivalent,morning,2023-07-03,7,July,Summer,69.8,True
los_angeles,2023-07-02,18:00,2023-07-02T18:00,17.2,62.96,NOA_blend_equivalent,evening,2023-07-03,7,July,Summer,70.34,True
denver,2023-07-04,06:00,2023-07-04T06:00,16.5,61.7,NOA_blend_equivalent,morning,2023-07-04,7,July,Summer,79.7,True
denver,2023-07-03,18:00,2023-07-03T18:00,30.1,86.18,NOA_blend_equivalent,evening,2023-07-04,7,July,Summer,87.44,True
miami,2023-07-04,06:00,2023-07-04T06:00,26.3,79.34,NOA_blend_equivalent,morning,2023-07-04,7,July,Summer,89.41999999999999,True
miami,2023-07-03,18:00,2023-07-03T18:00,28.7,83.66,NOA_blend_equivalent,evening,2023-07-04,7,July,Summer,89.78,True
chicago,2023-07-04,06:00,2023-07-04T06:00,20.5,68.9,NOA_blend_equivalent,morning,2023-07-04,7,July,Summer,88.88000000000001,True
chicago,2023-07-03,18:00,2023-07-03T18:00,25.8,78.44,NOA_blend_equivalent,evening,2023-07-04,7,July,Summer,82.22,True
los_angeles,2023-07-04,06:00,2023-07-04T06:00,14.9,58.82,NOA_blend_equivalent,morning,2023-07-04,7,July,Summer,69.08,True
los_angeles,2023-07-03,18:00,2023-07-03T18:00,17.3,63.14,NOA_blend_equivalent,evening,2023-07-04,7,July,Summer,69.8,True
